Reviewer1;key;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
N;conf/cec/SalekdehW11;Improving splice-junctions classification employing a novel encoding schema and decision-tree.;Amin Yazdani Salekdeh, Kay C. Wiese;2011;IEEE Congress on Evolutionary Computation;Conference and Workshop Papers;https://dblp.org/rec/conf/cec/SalekdehW11;https://doi.org/10.1109/CEC.2011.5949766;1302-1307;;;;;10.1109/CEC.2011.5949766
N;conf/cec/WareR13;An Ant Colony System algorithm for automatically schematizing transport network data sets.;J. Mark Ware, Nigel Richards;2013;IEEE Congress on Evolutionary Computation;Conference and Workshop Papers;https://dblp.org/rec/conf/cec/WareR13;https://doi.org/10.1109/CEC.2013.6557790;1892-1900;;;;;10.1109/CEC.2013.6557790
N;conf/cikm/HalfpapS24;Fragment Allocations for Partially Replicated Databases Considering Data Modifications and Changing Workloads.;Stefan Halfpap, Rainer Schlosser;2024;CIKM;Conference and Workshop Papers;https://dblp.org/rec/conf/cikm/HalfpapS24;https://doi.org/10.1145/3627673.3679767;758-767;;;;;10.1145/3627673.3679767
N;conf/cikm/XiaHYLW22;DuARUS: Automatic Geo-object Change Detection with Street-view Imagery for Updating Road Database at Baidu Maps.;Deguo Xia, Jizhou Huang, Jianzhong Yang, Xiyan Liu, Haifeng Wang;2022;CIKM;Conference and Workshop Papers;https://dblp.org/rec/conf/cikm/XiaHYLW22;https://doi.org/10.1145/3511808.3557118;3565-3574;;;;;10.1145/3511808.3557118
N;conf/cogsci/SpiveyM23;Looking at image schemas: Combinations and modifications.;Michael J. Spivey, Teenie Matlock;2023;CogSci;Conference and Workshop Papers;https://dblp.org/rec/conf/cogsci/SpiveyM23;https://escholarship.org/uc/item/5gr8v1jb;;;;;;
N;conf/colins/SytarVD21;Synonymizer of the Ukrainian Language: Stage of Creation, Features of Database Update and Software Implementation.;Hanna Sytar, Oleh Vietrov, Vladyslava Diachenko;2021;COLINS;Conference and Workshop Papers;https://dblp.org/rec/conf/colins/SytarVD21;https://ceur-ws.org/Vol-2870/paper33.pdf;448-458;;;;;
Y;conf/comad/NeamtiuBULB13;Improving Cloud Availability with On-the-fly Schema Updates.;Iulian Neamtiu, Jonathan Bardin, Md. Reaz Uddin, Dien-Yen Lin, Pamela Bhattacharya;2013;COMAD;Conference and Workshop Papers;https://dblp.org/rec/conf/comad/NeamtiuBULB13;http://comad.in/comad2013/pdfs/neamtiu.pdf;24-34;;;;;
N;conf/complexsystems/YasarerN14;Assessing the Auto Associative Network Approach for Prediction in Civil Engineering Databases.;Hakan Yasarer, Yacoub Najjar;2014;Complex Adaptive Systems;Conference and Workshop Papers;https://dblp.org/rec/conf/complexsystems/YasarerN14;https://doi.org/10.1016/j.procs.2014.09.064;618-622;;;;;10.1016/J.PROCS.2014.09.064
N;conf/cpits/ZhebkaZHKP25;Method for Adaptive Allocation of Cryptographic Resources in Distributed Databases (short paper).;Serhii Zhebka, Viktoriia V. Zhebka, Hennadii Hulak, Roman Kyrychok, Artem Platonenko;2025;CPITS;Conference and Workshop Papers;https://dblp.org/rec/conf/cpits/ZhebkaZHKP25;https://ceur-ws.org/Vol-3991/short8.pdf;620-628;;;;;
N;conf/data/LiuBCGG12;KIDS - A Model for Developing Evolutionary Database Applications.;Zhen Hua Liu, Andreas Behrend, Eric S. Chan, Dieter Gawlick, Adel Ghoneimy;2012;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/LiuBCGG12;;129-134;;;;;
Y;conf/data/Vassiliadis16;Schema Evolution for Relational Databases.;Panos Vassiliadis;2016;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/Vassiliadis16;;5;;;;;
N;conf/dexa/YamashitaCM25;Unified Schema-Driven Graph Polystore: Achieving Transparency in Multi-model Integration and Migration.;Fumihiro Yamashita, Qiong Chang, Jun Miyazaki;2025;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/YamashitaCM25;https://doi.org/10.1007/978-3-032-02088-8_10;136-143;;;;;10.1007/978-3-032-02088-8_10
N;conf/dihu/BolHF12;Prosopographical Databases, Text-Mining, GIS and System Interoperability for Chinese History and Literature.;Peter K. Bol, Jieh Hsiang, Grace Fong;2012;DH;Conference and Workshop Papers;https://dblp.org/rec/conf/dihu/BolHF12;http://www.dh2012.uni-hamburg.de/conference/programme/abstracts/prosopographical-databases-text-mining-gis-and-system-interoperability-for-chinese-history-and-literature.1.html;43-51;;;;;
N;conf/dihu/BosWPV16;Quantifying 'Pillarization': Extracting Political History from Large Databases of Digitized Media Collections.;E. G. Patrick Bos, Huub Wijfjes, Maaike Piscaer, Gerrit Voerman;2016;HistoInformatics@DH;Conference and Workshop Papers;https://dblp.org/rec/conf/dihu/BosWPV16;https://ceur-ws.org/Vol-1632/paper_8.pdf;57-66;;;;;
N;conf/dihu/Shoemaker18;Connecting Gaming Communities and Corporations to their History: The Gen Con Program Database.;Matt Shoemaker;2018;DH;Conference and Workshop Papers;https://dblp.org/rec/conf/dihu/Shoemaker18;https://dh2018.adho.org/en/connecting-gaming-communities-and-corporations-to-their-history-the-gen-con-program-database/;667;;;;;
N;conf/dihu/Sozinova16;Complex Networks-Based Approach to Russian Rhyme History Description: Linguostatistics and Database.;Olga Sozinova;2016;DH;Conference and Workshop Papers;https://dblp.org/rec/conf/dihu/Sozinova16;http://dh2016.adho.org/abstracts/69;891-893;;;;;
N;conf/dihu/Sullivan14;A Large Database Approach to Cultural History.;Brenton Sullivan;2014;DH;Conference and Workshop Papers;https://dblp.org/rec/conf/dihu/Sullivan14;http://dharchive.org/paper/DH2014/Paper-655.xml;;;;;;
N;conf/dihu/WatzingerKOHG23;How to be flexible - OpenAtlas as Highly Adaptable Database Software in the Scope of Digital Humanities.;Alexander Watzinger, Bernhard Koschicek-Krombholz, Andreas Olschnögger, Christoph Hoffmann, Moritz Großfurtner;2023;DH;Conference and Workshop Papers;https://dblp.org/rec/conf/dihu/WatzingerKOHG23;https://doi.org/10.5281/zenodo.8107994;;;;;;10.5281/ZENODO.8107994
Y;conf/dolap/0001RSA12;ORE: an iterative approach to the design and evolution of multi-dimensional schemas.;Petar Jovanovic , Oscar Romero , Alkis Simitsis, Alberto Abelló;2012;DOLAP;Conference and Workshop Papers;https://dblp.org/rec/conf/dolap/0001RSA12;https://doi.org/10.1145/2390045.2390047;1-Αυγ;;;;;10.1145/2390045.2390047
Y;conf/edbt/BeineHWC14;"Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.";Mathieu Beine, Nicolas Hames, Jens H. Weber, Anthony Cleve;2014;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/BeineHWC14;https://ceur-ws.org/Vol-1133/paper-16.pdf;100-107;;;;;
Y;conf/edbt/StorlK22;Darwin: A Data Platform for Schema Evolution Management and Data Migration.;Uta Störl, Meike Klettke;2022;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/StorlK22;https://ceur-ws.org/Vol-3135/dataplat_short3.pdf;;;;;;
N;conf/emc/ChangCC13a;Simplifying Data Migration from Relational Database Management System to Google App Engine Datastore.;Yao-Chung Chang, Ruay-Shiung Chang, Yudy Chen;2013;EMC/HumanCom;Conference and Workshop Papers;https://dblp.org/rec/conf/emc/ChangCC13a;https://doi.org/10.1007/978-94-007-7262-5_101;887-895;;;;;10.1007/978-94-007-7262-5_101
Y;conf/emisa/ChiaoKR14;Towards schema evolution in object-aware process management systems.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2014;EMISA;Conference and Workshop Papers;https://dblp.org/rec/conf/emisa/ChiaoKR14;https://dl.gi.de/handle/20.500.12116/3040;101-115;;;;;
N;conf/fskd/LiuLYY14;Adaptively incremental dictionary compression method for column-oriented database.;Hui Liu, Zhijing Liu, Tong Yuan, Yong Yao;2014;FSKD;Conference and Workshop Papers;https://dblp.org/rec/conf/fskd/LiuLYY14;https://doi.org/10.1109/FSKD.2014.6980907;628-632;;;;;10.1109/FSKD.2014.6980907
N;conf/gecco/GoncalvesGS13;An evolutionary multi-agent system for database query optimization.;Frederico A. C. A. Gonçalves, Frederico G. Guimarães, Marcone J. F. Souza;2013;GECCO;Conference and Workshop Papers;https://dblp.org/rec/conf/gecco/GoncalvesGS13;https://doi.org/10.1145/2463372.2465802;535-542;;;;;10.1145/2463372.2465802
N;conf/gi/Schmidt16;Ein Eclipse-Plugin zur kontrollierten Schema-Evolution im NoSQL Datenbanksystem MongoDB.;Dennis Schmidt;2016;GI-Jahrestagung;Conference and Workshop Papers;https://dblp.org/rec/conf/gi/Schmidt16;https://dl.gi.de/handle/20.500.12116/1111;2151-2156;;;;;
N;conf/gi/StolzeLRSB13;Evolutionary Integration of In-Memory Database Technology into IBM's Enterprise DB2 Database Systems.;Knut Stolze, Guy M. Lohman, Vijayshankar Raman, Richard Sidle, Felix Beier;2013;GI-Jahrestagung;Conference and Workshop Papers;https://dblp.org/rec/conf/gi/StolzeLRSB13;https://dl.gi.de/handle/20.500.12116/20771;461-471;;;;;
Y;conf/gvd/AugeH18;Inverses in Research Data Management: Combining Provenance Management, Schema and Data Evolution (Inverse im Forschungsdatenmanagement).;Tanja Auge, Andreas Heuer;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/AugeH18;https://ceur-ws.org/Vol-2126/paper17.pdf;108-113;;;;;
M;conf/gvd/Moller18;Data Evolution and Migration Strategies for NoSQL Databases (Datenevolutions- und Migrationsstrategien in NoSQL-Datenbanken).;Mark Lukas Möller;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/Moller18;https://ceur-ws.org/Vol-2126/paper2.pdf;16-22;;;;;
N;conf/gvd/NosingerKH12;Evolution von XML-Schemata auf konzeptioneller Ebene - Übersicht: Der CodeX-Ansatz zur Lösung des Gültigkeitsproblems.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2012;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/NosingerKH12;https://ceur-ws.org/Vol-850/paper_noesinger.pdf;29-34;;;;;
Y;conf/gvd/NosingerKH13;A Conceptual Model for the XML Schema Evolution.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2013;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/NosingerKH13;https://ceur-ws.org/Vol-1020/paper_05.pdf;28-33;;;;;
N;conf/gvd/PawarSDPBS19;Codd's World: Topics and their Evolution in the Database Community Publication Graph.;Rutuja Shivraj Pawar, Sepideh Sadat Sobhgol, Gabriel Campero Durand, Marcus Pinnecke, David Broneske, Gunter Saake;2019;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/PawarSDPBS19;https://ceur-ws.org/Vol-2367/paper_3.pdf;74-81;;;;;
N;conf/gvd/Rose021;Der BACKCHASE zur Unterstützung von Data Provenance und Schema-Evolution.;Florian Rose, Andreas Heuer;2021;GvDB;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/Rose021;https://ceur-ws.org/Vol-3075/paper8.pdf;;;;;;
N;conf/hinc/Pind14;The Story of DSI-TEKST: The First Software Package Which Integrated Word Processing, Database and Report Generator - in Denmark and Maybe in the Whole World.;Anne Grethe Pind;2014;History of Nordic Computing;Conference and Workshop Papers;https://dblp.org/rec/conf/hinc/Pind14;https://doi.org/10.1007/978-3-319-17145-6_32;309-320;;;;;10.1007/978-3-319-17145-6_32
N;conf/ial/2023;Proceedings of the Workshop on Interactive Adaptive Learning co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML-PKDD 2023), Torino, Italy, September 22nd, 2023.;Mirko Bunse, Barbara Hammer, Georg Krempl, Vincent Lemaire , Alaa Tharwat, Amal Saadallah;2023;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/ial/2023;https://ceur-ws.org/Vol-3470;;3470;;CEUR-WS.org;;
N;conf/ial/2024;Proceedings of the Workshop on Interactive Adaptive Learning co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML-PKDD 2024), Vilnius, Lithuania, September 9th, 2024.;Mirko Bunse, Marek Herde, Georg Krempl, Vincent Lemaire , Alaa Tharwat, Minh Tuan Pham, Amal Saadallah;2024;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/ial/2024;https://ceur-ws.org/Vol-3770;;3770;;CEUR-WS.org;;
N;conf/icbo/LaulederkindHWB18;Adapting Disease Vocabularies for Curation at the Rat Genome Database.;Stanley J. F. Laulederkind, G. Thomas Hayman, Shur-Jen Wang, Elizabeth R. Bolton, Jennifer R. Smith, Marek Tutaj, Jeff de Pons, Mary Shimoyama, Melinda R. Dwinell;2018;ICBO;Conference and Workshop Papers;https://dblp.org/rec/conf/icbo/LaulederkindHWB18;https://ceur-ws.org/Vol-2285/ICBO_2018_paper_2.pdf;;;;;;
N;conf/icce/YamakawaKY11;An Adaptive ICT Education Service based on Course Knowledge Database in Science and Technologies.;Hiroto Yamakawa, Hiroshi Komatsugawa, Junichi Yoshida;2011;ICCE;Conference and Workshop Papers;https://dblp.org/rec/conf/icce/YamakawaKY11;https://library.apsce.net/index.php/ICCE/article/view/2657;;;;;;
Y;conf/icdim/CastelltortL13;Representing history in graph-oriented NoSQL databases: A versioning system.;Arnaud Castelltort, Anne Laurent;2013;ICDIM;Conference and Workshop Papers;https://dblp.org/rec/conf/icdim/CastelltortL13;https://doi.org/10.1109/ICDIM.2013.6694022;228-234;;;;;10.1109/ICDIM.2013.6694022
N;conf/icdm/ChenWL11;Incremental Maintenance of Topological Patterns in Spatial-Temporal Database.;Yi-Cheng Chen, Chao-Ying Wu, Suh-Yin Lee;2011;ICDM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icdm/ChenWL11;https://doi.org/10.1109/ICDMW.2011.99;853-860;;;;;10.1109/ICDMW.2011.99
Y;conf/iceis/PereiraP14;Evolution of the Application and Database with Aspects.;Rui Humberto R. Pereira, J. Baltasar García Pérez-Schofield;2014;ICEIS;Conference and Workshop Papers;https://dblp.org/rec/conf/iceis/PereiraP14;https://doi.org/10.5220/0004966903080313;308-313;;;;;10.5220/0004966903080313
Y;conf/iceis/Sahoo11;Effective Database Migration Strategy - The Need for Addressing Database Migration Challenges of Today, Tomorrow and Beyond.;Prabin R. Sahoo;2011;ICEIS;Conference and Workshop Papers;https://dblp.org/rec/conf/iceis/Sahoo11;https://www.scitepress.org/papers/2011/34181/34181.pdf;335-338;;;;;
N;conf/icml/0002CS0DO25;In-Context Adaptation to Concept Drift for Learned Database Operations.;Jiaqi Zhu , Shaofeng Cai, Yanyan Shen, Gang Chen , Fang Deng, Beng Chin Ooi;2025;ICML;Conference and Workshop Papers;https://dblp.org/rec/conf/icml/0002CS0DO25;https://openreview.net/forum?id=u1yVbMzZLm;;;;;;
N;conf/iecon/Suzuki18;Detection of the Body Schema Modification Induced by a Visual-Proprioceptive Mismatch.;Satoshi Suzuki;2018;IECON;Conference and Workshop Papers;https://dblp.org/rec/conf/iecon/Suzuki18;https://doi.org/10.1109/IECON.2018.8591548;4263-4268;;;;;10.1109/IECON.2018.8591548
N;conf/intelitsis/TymchenkoHKC25;Modeling and adapting network databases for complex data structures 242-251.;Oleksandr Tymchenko, Bohdana Havrysh, Orest Khamula, Volodymyr Chornyak;2025;IntelITSIS;Conference and Workshop Papers;https://dblp.org/rec/conf/intelitsis/TymchenkoHKC25;https://ceur-ws.org/Vol-3963/paper20.pdf;242-251;;;;;
N;conf/ipres/RahmanRD11;Transformation Rules for Model Migration in Relational Database Preservation.;Arif Ur Rahman, Cristina Ribeiro , Gabriel David;2011;iPRES;Conference and Workshop Papers;https://dblp.org/rec/conf/ipres/RahmanRD11;https://hdl.handle.net/11353/10.294268;;;;;;
Y;conf/isdevel/PolakMP12;XML Query Adaptation as Schema Evolves.;Marek Polák, Irena Mlýnková, Eric Pardede;2012;ISD;Conference and Workshop Papers;https://dblp.org/rec/conf/isdevel/PolakMP12;https://doi.org/10.1007/978-1-4614-7540-8_31;401-416;;;;;10.1007/978-1-4614-7540-8_31
N;conf/isdevel/ZaschkeZLNN11;Adaptive Model-Driven Information Systems Development for Object Databases.;Tilmann Zäschke, Christoph Zimmerli, Stefania Leone, Minh K. Nguyen, Moira C. Norrie;2011;ISD;Conference and Workshop Papers;https://dblp.org/rec/conf/isdevel/ZaschkeZLNN11;https://doi.org/10.1007/978-1-4614-4951-5_41;513-525;;;;;10.1007/978-1-4614-4951-5_41
Y;conf/issta/0003D13;Early detection of faults related to database schematic changes.;Deepak Garg , Amitava Datta;2013;JAMAICA@ISSTA;Conference and Workshop Papers;https://dblp.org/rec/conf/issta/0003D13;https://doi.org/10.1145/2489280.2489283;1-Ιουν;;;;;10.1145/2489280.2489283
M;conf/lwa/MollerKS19;Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.;Mark Lukas Möller, Meike Klettke, Uta Störl;2019;LWDA;Conference and Workshop Papers;https://dblp.org/rec/conf/lwa/MollerKS19;https://ceur-ws.org/Vol-2454/paper_19.pdf;25-37;;;;;
N;conf/lwa/StorlKS15;Kontrolliertes Schema-Evolutionsmanagement für NoSQL-Datenbanksysteme.;Uta Störl, Meike Klettke, Stefanie Scherzinger;2015;LWA;Conference and Workshop Papers;https://dblp.org/rec/conf/lwa/StorlKS15;https://ceur-ws.org/Vol-1458/H07_CRC34_Stoerl.pdf;439-443;;;;;
N;conf/medinfo/Pape-HaugaardHCH13;Exploring Barriers for Health Visitors' Adaption of the Danish Children's Database.;Louise Pape-Haugaard, Karin Haugaard, Per Carøe, Anna Marie Høstgaard;2013;MedInfo;Conference and Workshop Papers;https://dblp.org/rec/conf/medinfo/Pape-HaugaardHCH13;https://doi.org/10.3233/978-1-61499-289-9-1083;1083;;;;;10.3233/978-1-61499-289-9-1083
N;conf/mim/Baybulatov13;An Example of Industrial System Databases Security Assurance During the Maintenance Stage.;Artur Baybulatov;2013;MIM;Conference and Workshop Papers;https://dblp.org/rec/conf/mim/Baybulatov13;https://doi.org/10.3182/20130619-3-RU-3018.00579;1091-1095;;;;;10.3182/20130619-3-RU-3018.00579
N;conf/pkdd/2017ial;Proceedings of the Workshop and Tutorial on Interactive Adaptive Learning co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2017), Skopje, Macedonia, September 18, 2017.;Georg Krempl, Vincent Lemaire , Robi Polikar, Bernhard Sick, Daniel Kottke, Adrian Calma;2017;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/pkdd/2017ial;https://ceur-ws.org/Vol-1924;;1924;;CEUR-WS.org;;
N;conf/pkdd/2018ial;Proceedings of the Workshop on Interactive Adaptive Learning co-located with European Conference on Machine Learning (ECML 2018) and Principles and Practice of Knowledge Discovery in Databases (PKDD 2018), Dublin, Ireland, September 10th, 2018.;Georg Krempl, Vincent Lemaire , Daniel Kottke, Adrian Calma, Andreas Holzinger, Robi Polikar, Bernhard Sick;2018;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/pkdd/2018ial;https://ceur-ws.org/Vol-2192;;2192;;CEUR-WS.org;;
N;conf/pkdd/2020ial;Proceedings of the Workshop on Interactive Adaptive Learning co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2020), Ghent, Belgium, September 14th, 2020.;Daniel Kottke, Georg Krempl, Vincent Lemaire , Andreas Holzinger, Adrian Calma;2020;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/pkdd/2020ial;https://ceur-ws.org/Vol-2660;;2660;;CEUR-WS.org;;
N;conf/pkdd/2021ial;Proceedings of the Workshop on Interactive Adaptive Learning (IAL 2021) co-located with the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2021), Bilbao, Spain, September 13, 2021.;Georg Krempl, Vincent Lemaire , Daniel Kottke, Andreas Holzinger, Barbara Hammer;2022;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/pkdd/2021ial;https://ceur-ws.org/Vol-3079;;3079;;CEUR-WS.org;;
N;conf/pkdd/2022ial;Proceedings of the Workshop on Interactive Adaptive Learning co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2022), Grenoble, France, September 23, 2022.;Daniel Kottke, Georg Krempl, Andreas Holzinger, Barbara Hammer;2022;IAL@PKDD/ECML;Editorship;https://dblp.org/rec/conf/pkdd/2022ial;https://ceur-ws.org/Vol-3259;;3259;;CEUR-WS.org;;
N;conf/rice/KoliS17;Approaches used in efficient migration from Relational Database to NoSQL Database.;Arati Koli, Swati Shinde;2017;RICE;Conference and Workshop Papers;https://dblp.org/rec/conf/rice/KoliS17;https://doi.org/10.15439/2017R76;223-227;;;;;10.15439/2017R76
N;conf/rodbh/2019;Proceedings of the Doctoral Symposium on Research on Online Databases in History co-located with 3rd Data for History Workshop, RODBH 2019, Leipzig, Germany, April 4-5, 2019.;Thomas Riechert, Francesco Beretta, George Bruseker;2020;RODBH;Editorship;https://dblp.org/rec/conf/rodbh/2019;https://ceur-ws.org/Vol-2532;;2532;;CEUR-WS.org;;
Y;conf/sbbd/DesantiBFS13;A Redundancy-Free Approach to Schema Evolution.;Claudiomar Desanti, Marcos Bernardelli, Márcio Fuckner, Raquel Kolitski Stasiu;2013;SBBD;Conference and Workshop Papers;https://dblp.org/rec/conf/sbbd/DesantiBFS13;http://www.lbd.dcc.ufmg.br/colecoes/sbbd/2013/007.pdf;7:1-7:6;;;;;
Y;conf/sbbd/YamanakaAADPSA24;Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.;Muriki G. Yamanaka, Diogo Henrique de Almeida, Paulo Ricardo Lisboa de Almeida, Simone Dominico, Letícia M. Peres, Marcos Sfair Sunyé, Eduardo C. de Almeida;2024;SBBD;Conference and Workshop Papers;https://dblp.org/rec/conf/sbbd/YamanakaAADPSA24;https://doi.org/10.5753/sbbd.2024.240840;498-509;;;;;10.5753/SBBD.2024.240840
N;conf/semweb/DividinoSGG13;Change-a-LOD: Does the Schema on the Linked Data Cloud Change or Not?;Renata Queiroz Dividino, Ansgar Scherp, Gerd Gröner, Thomas Grotton;2013;COLD;Conference and Workshop Papers;https://dblp.org/rec/conf/semweb/DividinoSGG13;https://ceur-ws.org/Vol-1034/DividinoEtAl_COLD2013.pdf;;;;;;
Y;conf/time/BrahmiaGOB14;High-Level Operations for Creation and Maintenance of Temporal and Conventional Schema in the tauXSchema Framework.;Zouhaier Brahmia, Fabio Grandi , Barbara Oliboni, Rafik Bouaziz;2014;TIME;Conference and Workshop Papers;https://dblp.org/rec/conf/time/BrahmiaGOB14;https://doi.org/10.1109/TIME.2014.14;101-110;;;;;10.1109/TIME.2014.14
M;conf/time/CombiRS15;The Price of Evolution in Temporal Databases.;Carlo Combi, Romeo Rizzi, Pietro Sala;2015;TIME;Conference and Workshop Papers;https://dblp.org/rec/conf/time/CombiRS15;https://doi.org/10.1109/TIME.2015.24;47-58;;;;;10.1109/TIME.2015.24
