key;EID;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
journals/tii/AnwarMT17;2-s2.0-85028449520;Ensuring Data Integrity of OPF Module and Energy Database by Detecting Changes in Power Flow Patterns in Smart Grids.;Adnan Anwar, Abdun Naser Mahmood, Zahir Tari;2017;IEEE Trans. Ind. Informatics;Journal Articles;https://dblp.org/rec/journals/tii/AnwarMT17;https://doi.org/10.1109/TII.2017.2740324;3299-3311;13;6;;;10.1109/TII.2017.2740324
journals/tip/BampisLKHEB21;2-s2.0-85104570840;Towards Perceptually Optimized Adaptive Video Streaming-A Realistic Quality of Experience Database.;Christos G. Bampis, Zhi Li , Ioannis Katsavounidis, Te-Yuan Huang, Chaitanya Ekanadham, Alan C. Bovik;2021;IEEE Trans. Image Process.;Journal Articles;https://dblp.org/rec/journals/tip/BampisLKHEB21;https://doi.org/10.1109/TIP.2021.3073294;5182-5197;30;;;;10.1109/TIP.2021.3073294
journals/tip/LuoCN15;2-s2.0-84927722245;Adaptive Image Denoising by Targeted Databases.;Enming Luo, Stanley H. Chan, Truong Q. Nguyen;2015;IEEE Trans. Image Process.;Journal Articles;https://dblp.org/rec/journals/tip/LuoCN15;https://doi.org/10.1109/TIP.2015.2414873;2167-2181;24;7;;;10.1109/TIP.2015.2414873
journals/tjs/HeinrichWBPG20;2-s2.0-85048748900;Hardware-aided update acceleration in a hybrid Semantic Web database system.;Dennis Heinrich, Stefan Werner , Christopher Blochwitz, Thilo Pionteck, Sven Groppe;2020;J. Supercomput.;Journal Articles;https://dblp.org/rec/journals/tjs/HeinrichWBPG20;https://doi.org/10.1007/s11227-018-2462-y;7961-7984;76;10;;;10.1007/S11227-018-2462-Y
journals/tjs/KaurBBANS23;2-s2.0-85133615062;Energy-efficient polyglot persistence database live migration among heterogeneous clouds.;Kiranbir Kaur, Salil Bharany, Sumit Badotra, Karan Aggarwal, Anand Nayyar, Sandeep Sharma;2023;J. Supercomput.;Journal Articles;https://dblp.org/rec/journals/tjs/KaurBBANS23;https://doi.org/10.1007/s11227-022-04662-6;265-294;79;1;;;10.1007/S11227-022-04662-6
journals/tkde/ChillonKRM24;2-s2.0-85184819638;A Generic Schema Evolution Approach for NoSQL and Relational Databases.;Alberto Hernández Chillón, Meike Klettke, Diego Sevilla Ruiz, Jesús García Molina;2024;IEEE Trans. Knowl. Data Eng.;Journal Articles;https://dblp.org/rec/journals/tkde/ChillonKRM24;https://doi.org/10.1109/TKDE.2024.3362273;2774-2789;36;7;;;10.1109/TKDE.2024.3362273
journals/tkde/NiLWFZL14;2-s2.0-84959553628;Adaptive Database Schema Design for Multi-Tenant Data Management.;Jiacai Ni, Guoliang Li , Lijun Wang, Jianhua Feng, Jun Zhang, Lei Li;2014;IEEE Trans. Knowl. Data Eng.;Journal Articles;https://dblp.org/rec/journals/tkde/NiLWFZL14;https://doi.org/10.1109/TKDE.2013.94;2079-2093;26;9;;;10.1109/TKDE.2013.94
journals/tkde/ParbatC23;2-s2.0-85144039604;Authorized Update in Multi-User Homomorphic Encrypted Cloud Database.;Tanusree Parbat, Ayantika Chatterjee;2023;IEEE Trans. Knowl. Data Eng.;Journal Articles;https://dblp.org/rec/journals/tkde/ParbatC23;https://doi.org/10.1109/TKDE.2022.3221148;7796-7808;35;8;;;10.1109/TKDE.2022.3221148
journals/tlsdkcs/GuoHPF13;2-s2.0-84893372986;EvoMatch: An Evolutionary Algorithm for Inferring Schematic Correspondences.;Chenjuan Guo, Cornelia Hedeler, Norman W. Paton, Alvaro A. A. Fernandes;2013;Trans. Large Scale Data Knowl. Centered Syst.;Journal Articles;https://dblp.org/rec/journals/tlsdkcs/GuoHPF13;https://doi.org/10.1007/978-3-642-45315-1_1;Ιαν-26;12;;;;10.1007/978-3-642-45315-1_1
journals/tmi/ZhangRLXM17;2-s2.0-85030753393;Low-Dose Lung CT Image Restoration Using Adaptive Prior Features From Full-Dose Training Database.;Yuanke Zhang, Junyan Rong, Hongbing Lu, Yuxiang Xing, Jing Meng;2017;IEEE Trans. Medical Imaging;Journal Articles;https://dblp.org/rec/journals/tmi/ZhangRLXM17;https://doi.org/10.1109/TMI.2017.2757035;2510-2523;36;12;;;10.1109/TMI.2017.2757035
journals/tods/BerkholzKS18;2-s2.0-85053453671;Answering FO+MOD Queries under Updates on Bounded Degree Databases.;Christoph Berkholz, Jens Keppeler, Nicole Schweikardt;2018;ACM Trans. Database Syst.;Journal Articles;https://dblp.org/rec/journals/tods/BerkholzKS18;https://doi.org/10.1145/3232056;7:1-7:32;43;2;;;10.1145/3232056
journals/tods/CaruccioPT16;2-s2.0-84969963099;Synchronization of Queries and Views Upon Schema Evolutions: A Survey.;Loredana Caruccio, Giuseppe Polese, Genoveffa Tortora;2016;ACM Trans. Database Syst.;Journal Articles;https://dblp.org/rec/journals/tods/CaruccioPT16;https://doi.org/10.1145/2903726;9:1-9:41;41;2;;;10.1145/2903726
journals/toit/GenevesLQ11;2-s2.0-80051945758;Impact of XML Schema Evolution.;Pierre Genevès, Nabil Layaïda, Vincent Quint;2011;ACM Trans. Internet Techn.;Journal Articles;https://dblp.org/rec/journals/toit/GenevesLQ11;https://doi.org/10.1145/1993083.1993087;4:1-4:27;11;1;;;10.1145/1993083.1993087
journals/tosem/PerezRZ25;2-s2.0-86000540022;PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution.;Beatriz Pérez , Ángel Luis Rubio, María A. Zapata;2025;ACM Trans. Softw. Eng. Methodol.;Journal Articles;https://dblp.org/rec/journals/tosem/PerezRZ25;https://doi.org/10.1145/3697008;59:1-59:27;34;3;;;10.1145/3697008
journals/tse/PiccioniOM13;2-s2.0-84873323832;Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support.;Marco Piccioni, Manuel Oriol, Bertrand Meyer;2013;IEEE Trans. Software Eng.;Journal Articles;https://dblp.org/rec/journals/tse/PiccioniOM13;https://doi.org/10.1109/TSE.2011.123;184-196;39;2;;;10.1109/TSE.2011.123
