key;Source;DataModel;DataModel description;Method;Method description;Topic;Topic description;EID;title;authors;year;venue;type;link;volume;number;doi
conf/icse/JongD15;JOIN;302;302: Relational;431;431: Tool;635, 631;"635: Guaranteeing the zerodowntime of the evolution of a working system
631: Guaranteeing the correctness/validity of schema and application code coevolution";2-s2.0-84962284951;Continuous Deployment and Schema Evolution in SQL Databases.;Michael de Jong, Arie van Deursen;2015;RELENG@ICSE;Conference and Workshop Papers;https://doi.org/10.1109/RELENG.2015.14;;;10.1109/RELENG.2015.14
conf/icse/JongDC17;JOIN;302;302: Relational;431;431: Tool;635;635: Guaranteeing the zerodowntime of the evolution of a working system;2-s2.0-85026828496;Zero-Downtime SQL Database Schema Evolution for Continuous Deployment.;Michael de Jong, Arie van Deursen, Anthony Cleve;2017;ICSE-SEIP;Conference and Workshop Papers;https://doi.org/10.1109/ICSE-SEIP.2017.5;;;10.1109/ICSE-SEIP.2017.5
conf/icseb/JaimoonS19;JOIN;302, 308;"302: Relational
308: ORM";422;422: Method (not fully automated);622, 631;"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";2-s2.0-85079879521;Impact Analysis of Database Schema Changes on Hibernate Source Code and Test Cases.;Amornrat Jaimoon, Taratip Suwannasart;2019;ICSEB;Conference and Workshop Papers;https://doi.org/10.1145/3374549.3374579;;;10.1145/3374549.3374579
conf/icsm/Al-BarakB16;JOIN;302;302: Relational;401;401: General Framework;680;680: General observations/concepts/guidelines around schema evolution;2-s2.0-85010755945;Database Design Debts through Examining Schema Evolution.;Mashel Al-Barak, Rami Bahsoon;2016;MTD@ICSME;Conference and Workshop Papers;https://doi.org/10.1109/MTD.2016.9;;;10.1109/MTD.2016.9
conf/icsm/DelplanqueEAA18;JOIN;302;302: Relational;402;402: Empirical Study;650, 661;"650: Understanding how schemata evolve
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";2-s2.0-85058312386;Relational Database Schema Evolution: An Industrial Case Study.;Julien Delplanque, Anne Etien, Nicolas Anquetil, Olivier Auverlot;2018;ICSME;Conference and Workshop Papers;https://doi.org/10.1109/ICSME.2018.00073;;;10.1109/ICSME.2018.00073
conf/icsm/GobertMCW13;JOIN;302;302: Relational;421;421: Algorithm (fully automated);671, 675;"671: Exploration & visualization of schema changes
675: Computing the diachronic schema";2-s2.0-84891679693;Understanding Schema Evolution as a Basis for Database Reengineering.;Maxime Gobert , Jerome Maes, Anthony Cleve, Jens H. Weber;2013;ICSM;Conference and Workshop Papers;https://doi.org/10.1109/ICSM.2013.75;;;10.1109/ICSM.2013.75
conf/icst/GargD12;JOIN;302;302: Relational;422, 431;"422: Method (not fully automated)
431: Tool";622;622: Impact to external source code when the logical schema changes;2-s2.0-84862321807;Test Case Prioritization Due to Database Changes in Web Applications.;Deepak Garg , Amitava Datta;2012;ICST;Conference and Workshop Papers;https://doi.org/10.1109/ICST.2012.163;;;10.1109/ICST.2012.163
conf/icws/KlimekN12;JOIN;303;303: XML;411, 431;"411: Algebra
431: Tool";678, 611;"678: Handling of schema mappings among any two schemata
611: SMOs/Languages/Rigorous Models for schema evolution";2-s2.0-84866412361;Formal Evolution of XML Schemas with Inheritance.;Jakub Klímek, Martin Necaský;2012;ICWS;Conference and Workshop Papers;https://doi.org/10.1109/ICWS.2012.11;;;10.1109/ICWS.2012.11
conf/idc/ChytilPNH13;JOIN;302;302: Relational;421;421: Algorithm (fully automated);633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;2-s2.0-84958524343;Evolution of a Relational Schema and Its Impact on SQL Queries.;Martin Chytil, Marek Polák, Martin Necaský, Irena Holubová;2013;IDC;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-01571-2_2;;;10.1007/978-3-319-01571-2_2
conf/ideas/HolubovaKL22;JOIN;306;306: Multimodel (eg Polystores);401;401: General Framework;680, 661;"680: General observations/concepts/guidelines around schema evolution
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";2-s2.0-85139056317;Self-Adapting Design and Maintenance of Multi-Model Databases.;Irena Holubová, Pavel Koupil, Jiaheng Lu;2022;IDEAS;Conference and Workshop Papers;https://doi.org/10.1145/3548785.3548810;;;10.1145/3548785.3548810
conf/iiwas/ChabinEFH20;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);412, 421;"412: Theoretical Proof
421: Algorithm (fully automated)";634;634: Guaranteeing the correctness/validity of schema constraints during evolution;2-s2.0-85100333383;Graph Rewriting Rules for RDF Database Evolution Management.;Jacques Chabin, Cédric Eichler, Mírian Halfeld Ferrari, Nicolas Hiot;2020;iiWAS;Conference and Workshop Papers;https://doi.org/10.1145/3428757.3429126;;;10.1145/3428757.3429126
conf/iiwas/NecaskyKMH13;JOIN;303, 301;"303: XML
301: Conceptual (ER/UML/Other)";431, 422;"431: Tool
422: Method (not fully automated)";678;678: Handling of schema mappings among any two schemata;2-s2.0-84896812409;Methodology for Design and Evolution of XML Schemas using Conceptual Modeling.;Martin Necaský, Jakub Klímek, Jakub Malý, Irena Holubová;2013;iiWAS;Conference and Workshop Papers;https://doi.org/10.1145/2539150.2539189;;;10.1145/2539150.2539189
conf/ipaw/Auge018;JOIN;302;302: Relational;499;499: Other;633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;2-s2.0-85053830701;Combining Provenance Management and Schema Evolution.;Tanja Auge, Andreas Heuer;2018;IPAW;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-98379-0_24;;;10.1007/978-3-319-98379-0_24
conf/isat/BhroitheHSPHFF19;JOIN;302;302: Relational;431;431: Tool;635, 646, 634;"635: Guaranteeing the zerodowntime of the evolution of a working system
646: Data migration virtually via query/view rewriting
634: Guaranteeing the correctness/validity of schema constraints during evolution";2-s2.0-85072842169;A Generic Approach to Schema Evolution in Live Relational Databases.;"Anna O&apos;Faoláin de Bhróithe, Fritz Heiden, Alena Schemmert, Dschialin Phan, Lillian Hung, Jörn Freiheit, Frank Fuchs-Kittowski";2019;ISAT;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-30440-9_11;;;10.1007/978-3-030-30440-9_11
conf/isda/BoukettayaNG18;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422: Method (not fully automated);643;643: Efficiently performing lazy data migration;2-s2.0-85065487694;Towards the Evolution of Graph Oriented Databases.;Soumaya Boukettaya, Ahlem Nabli, Faïez Gargouri;2018;ISDA;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-16660-1_39;;;10.1007/978-3-030-16660-1_39
conf/isdfs/ShimmiDKA20;JOIN;302;302: Relational;431, 421;"431: Tool
421: Algorithm (fully automated)";621, 672;"621: Impact to peripheral constructs when the core schema changes
672: Computing the diff of two schemata";2-s2.0-85087638720;Analysis of iOS SQLite Schema Evolution for Updating Forensic Data Extraction Tools.;Samiha S. Shimmi, Gokila Dorai, Umit Karabiyik, Sudhir Aggarwal;2020;ISDFS;Conference and Workshop Papers;https://doi.org/10.1109/ISDFS49300.2020.9116208;;;10.1109/ISDFS49300.2020.9116208
conf/issta/ScherzingerSWKS16;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;431: Tool;643, 644;"643: Efficiently performing lazy data migration
644: Efficiently performing eager data migration";2-s2.0-85050057005;Datalution: a tool for continuous schema evolution in NoSQL-backed web applications.;Stefanie Scherzinger, Stephanie Sombach, Katharina Wiech, Meike Klettke, Uta Störl;2016;QUDOS@ISSTA;Conference and Workshop Papers;https://doi.org/10.1145/2945408.2945416;;;10.1145/2945408.2945416
conf/kbse/XieY021;JOIN;302;302: Relational;431;431: Tool;631, 622;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";2-s2.0-85125446724;Automated Code Refactoring upon Database-Schema Changes in Web Applications.;Sophie Xie, Junwen Yang, Shan Lu;2021;ASE;Conference and Workshop Papers;https://doi.org/10.1109/ASE51524.2021.9678934;;;10.1109/ASE51524.2021.9678934
conf/lwa/AugeMJF020;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85096361442;Schema Evolution and Reproducibility of Long-term Hydrographic Data Sets at the IOW.;Tanja Auge, Erik Manthey, Susanne Jürgensmann, Susanne Feistel, Andreas Heuer;2020;LWDA;Conference and Workshop Papers;https://ceur-ws.org/Vol-2738/LWDA2020_paper_19.pdf;;;
conf/missi/MarciniakP12;JOIN;303;303: XML;421;421: Algorithm (fully automated);672;672: Computing the diff of two schemata;2-s2.0-84867921934;Tracking Changes in Database Schemas.;Jakub Marciniak, Tadeusz Pankowski;2012;MISSI;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-32335-5_15;;;10.1007/978-3-642-32335-5_15
conf/models/EckwertGT22;JOIN;302;302: Relational;431;431: Tool;641;641: Data migration script generation;2-s2.0-85142933296;EvolveDB: a tool for model driven schema evolution.;Torben Eckwert, Michael Guckert, Gabriele Taentzer;2022;MoDELS;Conference and Workshop Papers;https://doi.org/10.1145/3550356.3559095;;;10.1145/3550356.3559095
conf/models/Gotz015;JOIN;302, 308;"302: Relational
308: ORM";422, 431;"422: Method (not fully automated)
431: Tool";631;631: Guaranteeing the correctness/validity of schema and application code coevolution;2-s2.0-84954564351;Models@run.time for Object-Relational Mapping Supporting Schema Evolution.;Sebastian Götz, Thomas Kühn;2015;Models@run.time;Conference and Workshop Papers;https://ceur-ws.org/Vol-1474/MRT15_paper_10.pdf;;;
conf/models/HauslerK24;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;431: Tool;611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85212233878;Nautilus: Implementation of an Evolution Approach for Graph Databases.;Dominique Hausler, Meike Klettke;2024;MoDELS;Conference and Workshop Papers;https://doi.org/10.1145/3652620.3687781;;;10.1145/3652620.3687781
conf/modelsward/HillenbrandS22;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421, 431;"421: Algorithm (fully automated)
431: Tool";645;645: Data migration strategy determination;2-s2.0-85172766050;Automated Curation of Variational Data in NoSQL Databases through Metric-driven Self-adaptive Migration Strategies.;Andrea Hillenbrand, Uta Störl;2022;MODELSWARD;Conference and Workshop Papers;https://doi.org/10.5220/0010891300003119;;;10.5220/0010891300003119
conf/modelsward/HillenbrandS22a;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421, 431;"421: Algorithm (fully automated)
431: Tool";645;645: Data migration strategy determination;2-s2.0-85172136418;Managing Schema Migration in NoSQL Databases: Advisor Heuristics vs. Self-adaptive Schema Migration Strategies.;Andrea Hillenbrand, Uta Störl;2022;MODELSWARD;Conference and Workshop Papers;https://doi.org/10.1007/978-3-031-38821-7_11;;;10.1007/978-3-031-38821-7_11
conf/mompes/MoriC12;JOIN;301, 302;"301: Conceptual (ER/UML/Other)
302: Relational";421;421: Algorithm (fully automated);678, 632;"678: Handling of schema mappings among any two schemata
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-84879865774;Feature-Based Adaptation of Database Schemas.;Marco Mori, Anthony Cleve;2012;MOMPES;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-38209-3_6;;;10.1007/978-3-642-38209-3_6
conf/otm/MoesWBH12;JOIN;301;301: Conceptual (ER/UML/Other);422, 402;"422: Method (not fully automated)
402: Empirical Study";661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-84873823740;A Validatable Legacy Database Migration Using ORM.;Tjeerd H. Moes, Jan Pieter Wijbenga, Herman Balsters, George B. Huitema;2012;OTM Workshops;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-33618-8_55;;;10.1007/978-3-642-33618-8_55
conf/otm/NecaskyMK11;JOIN;303, 301;"303: XML
301: Conceptual (ER/UML/Other)";411, 422;"411: Algebra
422: Method (not fully automated)";678, 611, 632;"678: Handling of schema mappings among any two schemata
611: SMOs/Languages/Rigorous Models for schema evolution
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-81255166891;Model-Driven Approach to XML Schema Evolution.;Martin Necaský, Irena Mlýnková, Jakub Klímek;2011;OTM Workshops;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-25126-9_63;;;10.1007/978-3-642-25126-9_63
conf/pldi/RennerSBLS21;JOIN;302, 308;"302: Relational
308: ORM";413, 431;"413: Language
431: Tool";631, 633;"631: Guaranteeing the correctness/validity of schema and application code coevolution
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";2-s2.0-85108906384;"Scooter &amp; Sidecar: a domain-specific approach to writing secure database migrations.";John Renner, Alex Sanchez-Stern, Fraser Brown, Sorin Lerner, Deian Stefan;2021;PLDI;Conference and Workshop Papers;https://doi.org/10.1145/3453483.3454072;;;10.1145/3453483.3454072
conf/qrs/MeuriceNC16;JOIN;302, 308;"302: Relational
308: ORM";422;422: Method (not fully automated);622, 631;"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";2-s2.0-84995503678;Detecting and Preventing Program Inconsistencies under Database Schema Evolution.;Loup Meurice, Csaba Nagy , Anthony Cleve;2016;QRS;Conference and Workshop Papers;https://doi.org/10.1109/QRS.2016.38;;;10.1109/QRS.2016.38
conf/RelMiCS/JoostenJ24;JOIN;307;307: Model-Independent;499;499: Other;669;669: Methodologies for schema evolution: other;2-s2.0-85201975358;Data Migration Under a Changing Schema in Ampersand.;Sebastiaan J. C. Joosten, Stef Joosten;2024;RAMiCS;Conference and Workshop Papers;https://doi.org/10.1007/978-3-031-68279-7_11;;;10.1007/978-3-031-68279-7_11
conf/scam/FinkGC20;JOIN;306;306: Multimodel (eg Polystores);431, 422;"431: Tool
422: Method (not fully automated)";621, 646;"621: Impact to peripheral constructs when the core schema changes
646: Data migration virtually via query/view rewriting";2-s2.0-85097643045;Adapting Queries to Database Schema Changes in Hybrid Polystores.;Jérôme Fink, Maxime Gobert , Anthony Cleve;2020;SCAM;Conference and Workshop Papers;https://doi.org/10.1109/SCAM51674.2020.00019;;;10.1109/SCAM51674.2020.00019
conf/seke/OubelliABCL19;JOIN;301;301: Conceptual (ER/UML/Other);422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85071360392;Finding conservative schema evolutions by analysing API changes.;Lynda Ait Oubelli, Yamine Aït Ameur, Judicaël Bedouet, Benoît Chausserie-Lapree, Béatrice Larzul;2019;SEKE;Conference and Workshop Papers;https://doi.org/10.18293/SEKE2019-132;;;10.18293/SEKE2019-132
conf/sigmod/BhattacherjeeLH21;JOIN;302;302: Relational;421, 432;"421: Algorithm (fully automated)
432: DBMS internal mechanism";643;643: Efficiently performing lazy data migration;2-s2.0-85108970404;BullFrog: Online Schema Evolution via Lazy Evaluation.;Souvik Bhattacherjee, Gang Liao, Michael Hicks , Daniel J. Abadi;2021;SIGMOD Conference;Conference and Workshop Papers;https://doi.org/10.1145/3448016.3452842;;;10.1145/3448016.3452842
conf/sigmod/HerrmannVBRL17;JOIN;302;302: Relational;411, 412, 413, 431;"411: Algebra
412: Theoretical Proof
413: Language
431: Tool";677, 611;"677: Schema version management techniques
611: SMOs/Languages/Rigorous Models for schema evolution";2-s2.0-85021194591;Living in Parallel Realities: Co-Existing Schema Versions with a Bidirectional Database Evolution Language.;Kai Herrmann , Hannes Voigt, Andreas Behrend, Jonas Rausch, Wolfgang Lehner;2017;SIGMOD Conference;Conference and Workshop Papers;https://doi.org/10.1145/3035918.3064046;;;10.1145/3035918.3064046
conf/sigsoft/QiuLS13;JOIN;302;302: Relational;402;402: Empirical Study;650, 622;"650: Understanding how schemata evolve
622: Impact to external source code when the logical schema changes";2-s2.0-84883716265;An empirical analysis of the co-evolution of schema and code in database applications.;Dong Qiu, Bixin Li, Zhendong Su;2013;ESEC/SIGSOFT FSE;Conference and Workshop Papers;https://doi.org/10.1145/2491411.2491431;;;10.1145/2491411.2491431
conf/splc/0001LPP23;JOIN;302;302: Relational;422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85176013364;Adapting the Database to Feature Changes in Software Product Lines.;Alejandro Cortiñas , Miguel R. Luaces, Oscar Pedreira, Ángeles Saavedra Places;2023;SPLC;Conference and Workshop Papers;https://doi.org/10.1145/3579027.3608990;;;10.1145/3579027.3608990
conf/ssdbm/SchulerK18;JOIN;302;302: Relational;411, 413, 431;"411: Algebra
413: Language
431: Tool";611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85054936365;Towards an efficient and effective framework for the evolution of scientific databases.;Robert E. Schuler, Carl Kesselman;2018;SSDBM;Conference and Workshop Papers;https://doi.org/10.1145/3221269.3221300;;;10.1145/3221269.3221300
conf/ssdbm/SchulerK19;JOIN;302;302: Relational;411, 421, 413, 431;"411: Algebra
421: Algorithm (fully automated)
413: Language
431: Tool";611, 612;"611: SMOs/Languages/Rigorous Models for schema evolution
612: SMO composition";2-s2.0-85071260825;A High-level User-oriented Framework for Database Evolution.;Robert E. Schuler, Carl Kesselman;2019;SSDBM;Conference and Workshop Papers;https://doi.org/10.1145/3335783.3335787;;;10.1145/3335783.3335787
conf/tapp/GaoZ12;JOIN;302;302: Relational;431;431: Tool;647;647: Storing provenance information for data migration;2-s2.0-85090511380;Provenance Management in Databases Under Schema Evolution.;Shi Gao, Carlo Zaniolo;2012;TaPP;Conference and Workshop Papers;https://www.usenix.org/conference/tapp12/workshop-program/presentation/gao;;;
conf/tpctc/ConradMKMKS21;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);403;403: Benchmark;676;676: Benchmarks to simulate schema change;2-s2.0-85124005675;EvoBench: Benchmarking Schema Evolution in NoSQL.;André Conrad, Mark Lukas Möller, Tobias Kreiter, Jan-Christopher Mair, Meike Klettke, Uta Störl;2021;TPCTC;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-94437-7_3;;;10.1007/978-3-030-94437-7_3
conf/trustcom/BaqasahPHR13;JOIN;303;303: XML;421;421: Algorithm (fully automated);672;672: Computing the diff of two schemata;2-s2.0-84893516793;On Change Detection of XML Schemas.;Abdullah M. Baqasah, Eric Pardede, Irena Holubová, J. Wenny Rahayu;2013;TrustCom/ISPA/IUCC;Conference and Workshop Papers;https://doi.org/10.1109/TrustCom.2013.119;;;10.1109/TRUSTCOM.2013.119
conf/waim/XueSNKY12;JOIN;302;302: Relational;422;422: Method (not fully automated);646;646: Data migration virtually via query/view rewriting;2-s2.0-84865614969;A Transparent Approach for Database Schema Evolution Using View Mechanism.;Jianxin Xue, Derong Shen, Tiezheng Nie, Yue Kou, Ge Yu;2012;WAIM;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-32281-5_40;;;10.1007/978-3-642-32281-5_40
conf/wcre/AfonsoSCMCG20;JOIN;302;302: Relational;431, 421, 402;"431: Tool
421: Algorithm (fully automated)
402: Empirical Study";646, 672;"646: Data migration virtually via query/view rewriting
672: Computing the diff of two schemata";2-s2.0-85083572792;LESSQL: Dealing with Database Schema Changes in Continuous Deployment.;Ariel Afonso, Altigran S. da Silva, Tayana Conte, Paulo Martins , João M. B. Cavalcanti, Alessandro Garcia;2020;SANER;Conference and Workshop Papers;https://doi.org/10.1109/SANER48275.2020.9054796;;;10.1109/SANER48275.2020.9054796
conf/wcre/MeuriceC17;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421;421: Algorithm (fully automated);673, 674;"673: Reverse engineering /extraction of a schema snapshot
674: Reverse engineering /extraction of the entire history of a schema";2-s2.0-85018415398;Supporting schema evolution in schema-less NoSQL data stores.;Loup Meurice, Anthony Cleve;2017;SANER;Conference and Workshop Papers;https://doi.org/10.1109/SANER.2017.7884653;;;10.1109/SANER.2017.7884653
conf/webist/AkazawaMS20;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421, 411;"421: Algorithm (fully automated)
411: Algebra";633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;2-s2.0-85107112945;Transforming Property Path Query According to Shape Expression Schema Update.;Goki Akazawa, Naoto Matsubara, Nobutaka Suzuki;2020;WEBIST;Conference and Workshop Papers;https://doi.org/10.5220/0010173002920298;;;10.5220/0010173002920298
conf/wism/ZhangLS11;JOIN;307;307: Model-Independent;421;421: Algorithm (fully automated);649;649: Data migration: other;2-s2.0-80053401242;Data Privacy Preservation during Schema Evolution for Multi-tenancy Applications in Cloud Computing.;Kun Zhang , Qingzhong Li, Yuliang Shi;2011;WISM;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-23971-7_47;;;10.1007/978-3-642-23971-7_47
conf/worldcist/PereiraP14;JOIN;307;307: Model-Independent;431;431: Tool;631;631: Guaranteeing the correctness/validity of schema and application code coevolution;2-s2.0-84898614532;Towards a Flexible and Transparent Database Evolution.;Rui Humberto R. Pereira, J. Baltasar García Pérez-Schofield;2014;WorldCIST;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-05948-8_3;;;10.1007/978-3-319-05948-8_3
journals/acj/AhmedALSBR11;JOIN;301, 302;"301: Conceptual (ER/UML/Other)
302: Relational";422, 431;"422: Method (not fully automated)
431: Tool";672;672: Computing the diff of two schemata;2-s2.0-84860496510;Using Ontologies to Synchronize Change in Relational Database Systems.;Waqas Ahmed , Muhammad Ahtisham Aslam, Antonio A. Lopez-Lorca, Jun Shen , Ghassan Beydoun, Debbie Richards;2011;J. Res. Pract. Inf. Technol.;Journal Articles;http://ws.acs.org.au/jrpit/JRPITVolumes/JRPIT43/JRPIT43.2.89.pdf;43;2;
journals/cai/SilvaPVM12;JOIN;303;303: XML;421, 431;"421: Algorithm (fully automated)
431: Tool";669;669: Methodologies for schema evolution: other;2-s2.0-84865227618;Search-Based Evolution of XML Schemas.;Julio Cesar Teodoro Silva, Aurora Trinidad Ramirez Pozo, Silvia Regina Vergilio, Martin A. Musicante;2012;Comput. Informatics;Journal Articles;http://www.cai.sk/ojs/index.php/cai/article/view/1009;31;3;
journals/computing/VassiliadisKZZ19;JOIN;302;302: Relational;402;402: Empirical Study;675, 650;"675: Computing the diachronic schema
650: Understanding how schemata evolve";2-s2.0-85060434447;Schema evolution and foreign keys: a study on usage, heartbeat of change and relationship of foreign keys to table activity.;Panos Vassiliadis, Michail-Romanos Kolozoff, Maria Zerva, Apostolos V. Zarras;2019;Computing;Journal Articles;https://doi.org/10.1007/s00607-019-00702-x;101;10;10.1007/S00607-019-00702-X
journals/dpd/HillenbrandSNK22;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;431: Tool;645;645: Data migration strategy determination;2-s2.0-85105190738;Self-adapting data migration in the context of schema evolution in NoSQL databases.;Andrea Hillenbrand, Uta Störl, Shamil Nabiyev, Meike Klettke;2022;Distributed Parallel Databases;Journal Articles;https://doi.org/10.1007/s10619-021-07334-1;40;1;10.1007/S10619-021-07334-1
journals/dpd/SchulerK21;JOIN;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";411, 413, 421, 431;"411: Algebra
413: Language
421: Algorithm (fully automated)
431: Tool";611, 612;"611: SMOs/Languages/Rigorous Models for schema evolution
612: SMO composition";2-s2.0-85094139652;CHiSEL: a user-oriented framework for simplifing database evolution.;Robert Schuler, Carl Kesselman;2021;Distributed Parallel Databases;Journal Articles;https://doi.org/10.1007/s10619-020-07314-x;39;2;10.1007/S10619-020-07314-X
journals/ijitwe/BrahmiaGOB14;JOIN;303;303: XML;411, 413;"411: Algebra
413: Language";611, 677;"611: SMOs/Languages/Rigorous Models for schema evolution
677: Schema version management techniques";2-s2.0-84919695234;Schema Change Operations for Full Support of Schema Versioning in the τXSchema Framework.;Zouhaier Brahmia, Fabio Grandi , Barbara Oliboni, Rafik Bouaziz;2014;Int. J. Inf. Technol. Web Eng.;Journal Articles;https://doi.org/10.4018/ijitwe.2014040102;9;2;10.4018/IJITWE.2014040102
journals/ijwgs/BaqasahPRH15;JOIN;303;303: XML;421;421: Algorithm (fully automated);672;672: Computing the diff of two schemata;2-s2.0-84928408970;XS-Diff: XML schema change detection algorithm.;Abdullah M. Baqasah, Eric Pardede, J. Wenny Rahayu, Irena Holubová;2015;Int. J. Web Grid Serv.;Journal Articles;https://doi.org/10.1504/IJWGS.2015.068897;11;2;10.1504/IJWGS.2015.068897
journals/ijwis/ChabinEFH21;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);412, 421;"412: Theoretical Proof
421: Algorithm (fully automated)";634;634: Guaranteeing the correctness/validity of schema constraints during evolution;2-s2.0-85113663145;Graph rewriting rules for RDF database evolution: optimizing side-effect processing.;Jacques Chabin, Cédric Eichler, Mírian Halfeld Ferrari, Nicolas Hiot;2021;Int. J. Web Inf. Syst.;Journal Articles;https://doi.org/10.1108/IJWIS-03-2021-0033;17;6;10.1108/IJWIS-03-2021-0033
journals/informaticaLT/KlimekMNH15;JOIN;301, 303;"301: Conceptual (ER/UML/Other)
303: XML";401, 422;"401: General Framework
422: Method (not fully automated)";678, 632;"678: Handling of schema mappings among any two schemata
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-84951735908;eXolutio: Methodology for Design and Evolution of XML Schemas Using Conceptual Modeling.;Jakub Klímek, Jakub Malý, Martin Necaský, Irena Holubová;2015;Informatica;Journal Articles;http://content.iospress.com/articles/informatica/inf1065;26;3;
journals/infsof/DominguezLPRRZ11;JOIN;303, 301;"303: XML
301: Conceptual (ER/UML/Other)";499;499: Other;632;632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution;2-s2.0-78049527350;Evolution of XML schemas and documents from stereotyped UML class models: A traceable approach.;Eladio Domínguez, Jorge Lloret, Beatriz Pérez , Áurea Rodríguez, Ángel Luis Rubio, María Antonia Zapata;2011;Inf. Softw. Technol.;Journal Articles;https://doi.org/10.1016/j.infsof.2010.08.001;53;1;10.1016/J.INFSOF.2010.08.001
journals/infsof/GrolingerC11;JOIN;302;302: Relational;431;431: Tool;622;622: Impact to external source code when the logical schema changes;2-s2.0-78751575316;A unit test approach for database schema evolution.;Katarina Grolinger, Miriam A. M. Capretz;2011;Inf. Softw. Technol.;Journal Articles;https://doi.org/10.1016/j.infsof.2010.10.002;53;2;10.1016/J.INFSOF.2010.10.002
journals/infsof/SuarezOteroMST25;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422: Method (not fully automated);641, 678, 632;"641: Data migration script generation
678: Handling of schema mappings among any two schemata
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-105011178140;Data migration for column family database evolution.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2025;Inf. Softw. Technol.;Journal Articles;https://doi.org/10.1016/j.infsof.2025.107834;187;;10.1016/J.INFSOF.2025.107834
journals/is/QuintarelliRT15;JOIN;309;309: Other;411, 412;"411: Algebra
412: Theoretical Proof";611, 634;"611: SMOs/Languages/Rigorous Models for schema evolution
634: Guaranteeing the correctness/validity of schema constraints during evolution";2-s2.0-84919762827;A principled approach to context schema evolution in a data management perspective.;Elisa Quintarelli, Emanuele Rabosio, Letizia Tanca;2015;Inf. Syst.;Journal Articles;https://doi.org/10.1016/j.is.2014.11.008;49;;10.1016/J.IS.2014.11.008
journals/is/VassiliadisK22;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85135933984;Taxa and super taxa of schema evolution and their relationship to activity, heartbeat and duration.;Panos Vassiliadis, George Kalampokis;2022;Inf. Syst.;Journal Articles;https://doi.org/10.1016/j.is.2022.102109;110;;10.1016/J.IS.2022.102109
