key;EID;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
conf/caise/BrummermannKS13;2-s2.0-84879877403;302;402, 422;661;302: Relational;"402: Empirical Study
422: Method (not fully automated)";661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;(Schema mapping, Conceptual) Map conceptual model migrations to data migration scripts in column db;Managing the Evolution and Customization of Database Schemas in Information System Ecosystems.;Hendrik Brummermann, Markus Keunecke, Klaus Schmid;2013;CAiSE;Conference and Workshop Papers;https://dblp.org/rec/conf/caise/BrummermannKS13;https://doi.org/10.1007/978-3-642-38709-8_27;417-432;;;;;10.1007/978-3-642-38709-8_27
conf/caise/MollerSKS20;2-s2.0-85091268895;305;403;680;305: NoSQL (Graph/ JSON/Key-Value/Other);403: Benchmark;680: General observations/concepts/guidelines around schema evolution;(General framework?) Visionary paper - reject / requirements for a schema evolution benchmark;Why It Is Time for Yet Another Schema Evolution Benchmark - Visionary Paper.;Mark Lukas Möller, Stefanie Scherzinger, Meike Klettke, Uta Störl;2020;CAiSE Forum;Conference and Workshop Papers;https://dblp.org/rec/conf/caise/MollerSKS20;https://doi.org/10.1007/978-3-030-58135-0_10;113-125;;;;;10.1007/978-3-030-58135-0_10
conf/caise/SkoulisVZ14;2-s2.0-84903195203;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;Empirical study, Study of the evolution of a set of open source databases;"Open-Source Databases: Within, Outside, or Beyond Lehman&apos;s Laws of Software Evolution?";Ioannis Skoulis, Panos Vassiliadis, Apostolos V. Zarras;2014;CAiSE;Conference and Workshop Papers;https://dblp.org/rec/conf/caise/SkoulisVZ14;https://doi.org/10.1007/978-3-319-07881-6_26;379-393;;;;;10.1007/978-3-319-07881-6_26
conf/caise/VassiliadisZ17;2-s2.0-85021226606;;;;;;;;Survival in Schema Evolution: Putting the Lives of Survivor and Dead Tables in Counterpoint.;Panos Vassiliadis, Apostolos V. Zarras;2017;CAiSE;Conference and Workshop Papers;https://dblp.org/rec/conf/caise/VassiliadisZ17;https://doi.org/10.1007/978-3-319-59536-8_21;333-347;;;;;10.1007/978-3-319-59536-8_21
conf/cidr/BleifussBKNS19;2-s2.0-85084016156;;;;;;;;DBChEx: Interactive Exploration of Data and Schema Change.;Tobias Bleifuß, Leon Bornemann, Dmitri V. Kalashnikov, Felix Naumann, Divesh Srivastava;2019;CIDR;Conference and Workshop Papers;https://dblp.org/rec/conf/cidr/BleifussBKNS19;http://cidrdb.org/cidr2019/papers/p65-bleifuss-cidr19.pdf;;;;;;
conf/cidr/SpothACGGGHKLLN17;2-s2.0-85084013128;;;;;;;;Adaptive Schema Databases.;William Spoth, Bahareh Sadat Arab, Eric S. Chan, Dieter Gawlick, Adel Ghoneimy, Boris Glavic, Beda Christoph Hammerschmidt, Oliver Kennedy, Seokki Lee, Zhen Hua Liu, Xing Niu , Ying Yang;2017;CIDR;Conference and Workshop Papers;https://dblp.org/rec/conf/cidr/SpothACGGGHKLLN17;http://cidrdb.org/cidr2017/papers/p84-spoth-cidr17.pdf;;;;;;
conf/compsac/SongPXZ12;2-s2.0-84870778434;302;431, 421;646, 631, 633;302: Relational;"431: Tool
421: Algorithm (fully automated)";"646: Data migration virtually via query/view rewriting
631: Guaranteeing the correctness/validity of schema and application code coevolution
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";Dynamic adaptation of queries to changing db schema through change recovery and query rewriting;Automatic Adaptation of Software Applications to Database Evolution by Graph Differencing and AOP-Based Dynamic Patching.;Yang Song, Xin Peng , Zhenchang Xing, Wenyun Zhao;2012;COMPSAC;Conference and Workshop Papers;https://dblp.org/rec/conf/compsac/SongPXZ12;https://doi.org/10.1109/COMPSAC.2012.21;111-118;;;;;10.1109/COMPSAC.2012.21
conf/csmr/GoeminneDM14;2-s2.0-84898413863;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;Empirical study, Study of coevolution of application code and db;Co-evolving code-related and database-related changes in a data-intensive software system.;Mathieu Goeminne, Alexandre Decan, Tom Mens;2014;CSMR-WCRE;Conference and Workshop Papers;https://dblp.org/rec/conf/csmr/GoeminneDM14;https://doi.org/10.1109/CSMR-WCRE.2014.6747193;353-357;;;;;10.1109/CSMR-WCRE.2014.6747193
conf/csmr/MeuriceC14;2-s2.0-84898472802;302;431;671, 674;302: Relational;431: Tool;"671: Exploration & visualization of schema changes
674: Reverse engineering /extraction of the entire history of a schema";(Schema evolution recovery);DAHLIA: A visual analyzer of database schema evolution.;Loup Meurice, Anthony Cleve;2014;CSMR-WCRE;Conference and Workshop Papers;https://dblp.org/rec/conf/csmr/MeuriceC14;https://doi.org/10.1109/CSMR-WCRE.2014.6747219;464-468;;;;;10.1109/CSMR-WCRE.2014.6747219
conf/dasfaa/ZengLGZZC24;2-s2.0-85206348357;302;432;643, 635;302: Relational;432: DBMS internal mechanism;"643: Efficiently performing lazy data migration
635: Guaranteeing the zerodowntime of the evolution of a working system";(Zerodowntime schema evolution)Strategy for online schema change without db downltime;SLSM: An Efficient Strategy for Lazy Schema Migration on Shared-Nothing Databases.;Zhilin Zeng, Hui Li, Xiyue Gao, Hui Zhang, Huiquan Zhang, Jiangtao Cui;2024;DASFAA;Conference and Workshop Papers;https://dblp.org/rec/conf/dasfaa/ZengLGZZC24;https://doi.org/10.1007/978-981-97-5552-3_24;357-367;;;;;10.1007/978-981-97-5552-3_24
conf/data/HerrmannRVDFSL15;2-s2.0-84964931551;;;;;;;;Database Evolution for Software Product Lines.;Kai Herrmann , Jan Reimann , Hannes Voigt, Birgit Demuth, Stefan Fromm, Robert Stelzmann, Wolfgang Lehner;2015;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/HerrmannRVDFSL15;https://doi.org/10.5220/0005484101250133;125-133;;;;;10.5220/0005484101250133
conf/data/MohapatraHVLTL18;2-s2.0-85071417566;;;;;;;;Seamless Database Evolution for Cloud Applications.;Aniket Mohapatra, Kai Herrmann , Hannes Voigt, Simon Lüders, Tsvetan Tsokov, Wolfgang Lehner;2018;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/MohapatraHVLTL18;https://doi.org/10.5220/0006845101970207;197-207;;;;;10.5220/0006845101970207
conf/dexa/AmaviCAR14;2-s2.0-84958543412;303;421;678;303: XML;421: Algorithm (fully automated);678: Handling of schema mappings among any two schemata;(Schema Modification Operators, Schema evolution recovery), Recovery of SMO sequence required to evolve an XML schema among two versions, application of the recovered mapping to adaptation of XML docs;A ToolBox for Conservative XML Schema Evolution and Document Adaptation.;Joshua Amavi, Jacques Chabin, Mirian Halfeld Ferrari Alves, Pierre Réty;2014;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/AmaviCAR14;https://doi.org/10.1007/978-3-319-10073-9_24;299-307;;;;;10.1007/978-3-319-10073-9_24
conf/dexa/GuedesBM16;2-s2.0-84981188311;;;;;;;;Evolutionary Database Design: Enhancing Data Abstraction Through Database Modularization to Achieve Graceful Schema Evolution.;Gustavo Bartz Guedes, Gisele Busichia Baioco, Regina Lúcia de Oliveira Moraes;2016;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/GuedesBM16;https://doi.org/10.1007/978-3-319-44403-1_22;355-369;;;;;10.1007/978-3-319-44403-1_22
conf/dexa/HuoT12;2-s2.0-84866027812;302;432, 421;677;302: Relational;"432: DBMS internal mechanism
421: Algorithm (fully automated)";677: Schema version management techniques;Version management and branching of schema and data in temporal dbs;Querying Transaction-Time Databases under Branched Schema Evolution.;Wenyu Huo, Vassilis J. Tsotras;2012;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/HuoT12;https://doi.org/10.1007/978-3-642-32600-4_20;265-280;;;;;10.1007/978-3-642-32600-4_20
conf/dmah-ws/StiemerVSS20;2-s2.0-85103542795;;;;;;;;PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.;Alexander Stiemer, Marco Vogt , Heiko Schuldt, Uta Störl;2020;Poly/DMAH@VLDB;Conference and Workshop Papers;https://dblp.org/rec/conf/dmah-ws/StiemerVSS20;https://doi.org/10.1007/978-3-030-71055-2_4;42-53;;;;;10.1007/978-3-030-71055-2_4
conf/doceng/HasegawaIS13;2-s2.0-84924452788;303;421, 431, 411;611, 633;303: XML;"421: Algorithm (fully automated)
431: Tool
411: Algebra";"611: SMOs/Languages/Rigorous Models for schema evolution
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";(Schema Modification Operators for XML), XPath query rewriting under XML schema evolution;An Algorithm for Transforming XPath Expressions According to Schema Evolution.;Kazuma Hasegawa, Kosetsu Ikeda, Nobutaka Suzuki;2013;DChanges;Conference and Workshop Papers;https://dblp.org/rec/conf/doceng/HasegawaIS13;https://ceur-ws.org/Vol-1008/paper4.pdf;;;;;;
conf/doceng/WuS15;2-s2.0-84959251953;;;;;;;;Detecting XSLT Rules Affected by Schema Evolution.;Yang Wu, Nobutaka Suzuki;2015;DocEng;Conference and Workshop Papers;https://dblp.org/rec/conf/doceng/WuS15;https://doi.org/10.1145/2682571.2797086;143-146;;;;;10.1145/2682571.2797086
conf/ebiss/ManousisVZP15;2-s2.0-84978701719;;;;;;;;Schema Evolution for Databases and Data Warehouses.;Petros Manousis, Panos Vassiliadis, Apostolos V. Zarras, George Papastefanatos;2015;eBISS;Conference and Workshop Papers;https://dblp.org/rec/conf/ebiss/ManousisVZP15;https://doi.org/10.1007/978-3-319-39243-1_1;Ιαν-31;;;;;10.1007/978-3-319-39243-1_1
conf/edbt/AthinaiouK19;2-s2.0-85062664005;;;;;;;;VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.;Christos Athinaiou, Haridimos Kondylakis;2019;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/AthinaiouK19;https://ceur-ws.org/Vol-2322/BigVis_9.pdf;;;;;;
conf/edbt/ChillonMHO23;2-s2.0-85159002211;306;431;622;306: Multimodel (eg Polystores);431: Tool;622: Impact to external source code when the logical schema changes;Identify application code to be updated due to schema evolution;Propagating Schema Changes to Code: An Approach Based on a Unified Data Model.;Alberto Hernández Chillón, Jesús García Molina, José Ramón Hoyos, María-José Ortín-Ibáñez;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/ChillonMHO23;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id251_Alberto_Hernandez_Chillon.pdf;;;;;;
conf/edbt/LiuHHC11;2-s2.0-79953841370;305;421;644;305: NoSQL (Graph/ JSON/Key-Value/Other);421: Algorithm (fully automated);644: Efficiently performing eager data migration;SMOs for data migration during schema evolution in a column db, benchmark with synthetic data;Efficient and scalable data evolution with column oriented databases.;Ziyang Liu , Bin He , Hui-I Hsiao, Yi Chen;2011;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/LiuHHC11;https://doi.org/10.1145/1951365.1951380;105-116;;;;;10.1145/1951365.1951380
conf/edbt/StorlKS20;2-s2.0-85084180969;;;;;;;;NoSQL Schema Evolution and Data Migration: State-of-the-Art and Opportunities.;Uta Störl, Meike Klettke, Stefanie Scherzinger;2020;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/StorlKS20;https://doi.org/10.5441/002/edbt.2020.87;655-658;;;;;10.5441/002/EDBT.2020.87
conf/edbt/Suarez-OteroMCT23;2-s2.0-85159018708;305;422;641, 678, 632;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);"641: Data migration script generation
678: Handling of schema mappings among any two schemata
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";Generation of data migration scripts after schema changes in column db;Data migration in column family database evolution using MDE.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/Suarez-OteroMCT23;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id250_Pablo_Suarez_Otero.pdf;;;;;;
conf/edbt/Vassiliadis025;2-s2.0-105007923832;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;Patterns on how schema evolves over time;Time-Related Patterns Of Schema Evolution.;Panos Vassiliadis, Alexandros Karakasidis;2025;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/Vassiliadis025;https://doi.org/10.48786/edbt.2025.25;310-323;;;;;10.48786/EDBT.2025.25
conf/edbt/VassiliadisSKZ23;2-s2.0-85135905356;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;(Empirical study) Study the coevolution of schema and source code in a dataset of open source repos;Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.;Panos Vassiliadis, Fation Shehaj, George Kalampokis, Apostolos V. Zarras;2023;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/VassiliadisSKZ23;https://doi.org/10.48786/edbt.2023.03;27-39;;;;;10.48786/EDBT.2023.03
conf/er/BenatsM0C22;2-s2.0-85138724686;306;431, 422;662;306: Multimodel (eg Polystores);"431: Tool
422: Method (not fully automated)";662: Recommendations for specific, focused schema changes;(Schema evolution recommendations) Recommendations for schema evolution in polystores for query efficiency;Query-based Schema Evolution Recommendations for Hybrid Polystores.;Pol Benats, Loup Meurice, Maxime Gobert , Anthony Cleve;2022;ER Forum/PhD Symposium;Conference and Workshop Papers;https://dblp.org/rec/conf/er/BenatsM0C22;https://ceur-ws.org/Vol-3211/CR_122.pdf;;;;;;
conf/er/BonifatiFGHOV19;2-s2.0-85076177905;;;;;;;;Schema Validation and Evolution for Graph Databases.;Angela Bonifati, Peter Furniss, Alastair Green, Russ Harmer, Eugenia Oshurko, Hannes Voigt;2019;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/BonifatiFGHOV19;https://doi.org/10.1007/978-3-030-33223-5_37;448-456;;;;;10.1007/978-3-030-33223-5_37
conf/er/BrainingerMS20;2-s2.0-85098271438;;;;;;;;Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.;Dimitri Braininger, Wolfgang Mauerer, Stefanie Scherzinger;2020;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/BrainingerMS20;https://doi.org/10.1007/978-3-030-65847-2_19;210-219;;;;;10.1007/978-3-030-65847-2_19
conf/er/CaruccioPT18;2-s2.0-85055419249;;;;;;;;Dependency-Based Query/View Synchronization upon Schema Evolutions.;Loredana Caruccio, Giuseppe Polese, Genoveffa Tortora;2018;ER Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/er/CaruccioPT18;https://doi.org/10.1007/978-3-030-01391-2_17;91-105;;;;;10.1007/978-3-030-01391-2_17
conf/er/ChillonRM21a;2-s2.0-85118136056;305;411, 413;611;305: NoSQL (Graph/ JSON/Key-Value/Other);"411: Algebra
413: Language";611: SMOs/Languages/Rigorous Models for schema evolution;(Schema Modification Operators) SMOs for NoSQL DBs;Towards a Taxonomy of Schema Changes for NoSQL Databases: The Orion Language.;Alberto Hernández Chillón, Diego Sevilla Ruiz, Jesús García Molina;2021;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/ChillonRM21a;https://doi.org/10.1007/978-3-030-89022-3_15;176-185;;;;;10.1007/978-3-030-89022-3_15
conf/er/DimolikasZV20;2-s2.0-85097436953;;;;;;;;"A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.";Konstantinos Dimolikas, Apostolos V. Zarras, Panos Vassiliadis;2020;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/DimolikasZV20;https://doi.org/10.1007/978-3-030-62522-1_34;456-470;;;;;10.1007/978-3-030-62522-1_34
conf/er/GaoZ12;2-s2.0-84868305003;302;431;647;302: Relational;431: Tool;647: Storing provenance information for data migration;Reject? Data and schema provenance under schema evolution;Supporting Database Provenance under Schema Evolution.;Shi Gao, Carlo Zaniolo;2012;ER Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/er/GaoZ12;https://doi.org/10.1007/978-3-642-33999-8_9;67-77;;;;;10.1007/978-3-642-33999-8_9
conf/er/GiachosPBZV23;2-s2.0-85184350607;302;431;671, 650;302: Relational;431: Tool;"671: Exploration & visualization of schema changes
650: Understanding how schemata evolve";;Parallel lives diagrams for co-evolving communities and their application to schema evolution.;Fanis Giachos, Nikos Pantelidis, Christos Batsilas, Apostolos V. Zarras, Panos Vassiliadis;2023;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/GiachosPBZV23;https://ceur-ws.org/Vol-3618/forum_paper_19.pdf;;;;;;
conf/er/HauslerKS23;2-s2.0-85184350146;305;411, 413;611;305: NoSQL (Graph/ JSON/Key-Value/Other);"411: Algebra
413: Language";611: SMOs/Languages/Rigorous Models for schema evolution;Schema evolution operators and a language for graph db evolution;A language for graph database evolution and its implementation in Neo4j.;Dominique Hausler, Meike Klettke, Uta Störl;2023;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/HauslerKS23;https://ceur-ws.org/Vol-3618/forum_paper_8.pdf;;;;;;
conf/er/HillenbrandSS21;2-s2.0-85118155847;305;422;645;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);645: Data migration strategy determination;Study of data migration cost during NoSQL schema evolution through simulation;Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Stefanie Scherzinger, Uta Störl;2021;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/HillenbrandSS21;https://doi.org/10.1007/978-3-030-89022-3_13;149-159;;;;;10.1007/978-3-030-89022-3_13
conf/er/QuintarelliRT11;2-s2.0-80455168053;309;411;611;309: Other;411: Algebra;611: SMOs/Languages/Rigorous Models for schema evolution;Context schema evolution;Context Schema Evolution in Context-Aware Data Management.;Elisa Quintarelli, Emanuele Rabosio, Letizia Tanca;2011;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/QuintarelliRT11;https://doi.org/10.1007/978-3-642-24606-7_22;290-303;;;;;10.1007/978-3-642-24606-7_22
conf/er/ScherzingerS20;2-s2.0-85097385437;305;402;650;305: NoSQL (Graph/ JSON/Key-Value/Other);402: Empirical Study;650: Understanding how schemata evolve;(Empirical study?) Study of NoSQL schema evolution in 10 projects;An Empirical Study on the Design and Evolution of NoSQL Database Schemas.;Stefanie Scherzinger, Sebastian Sidortschuck;2020;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/ScherzingerS20;https://doi.org/10.1007/978-3-030-62522-1_33;441-455;;;;;10.1007/978-3-030-62522-1_33
conf/er/Suarez-OteroMCT21;2-s2.0-85118137382;305;422;661;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;(Schema change mapping?) Short paper very few details, Map conceptual model changes to schema, data migration and application changes (preliminary work of 222);An Integrated Approach for Column-Oriented Database Application Evolution Using Conceptual Models.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2021;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/Suarez-OteroMCT21;https://doi.org/10.1007/978-3-030-88358-4_3;26-32;;;;;10.1007/978-3-030-88358-4_3
conf/er/VassiliadisKZZ17;2-s2.0-85033445497;;;;;;;;Schema Evolution and Foreign Keys: Birth, Eviction, Change and Absence.;Panos Vassiliadis, Michail-Romanos Kolozoff, Maria Zerva, Apostolos V. Zarras;2017;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/VassiliadisKZZ17;https://doi.org/10.1007/978-3-319-69904-2_9;106-119;;;;;10.1007/978-3-319-69904-2_9
conf/er/ZaschkeLN12;2-s2.0-84868330112;304;422, 431, 402;612;304: Object Oriented DBs;"422: Method (not fully automated)
431: Tool
402: Empirical Study";612: SMO composition;Conceptual model, Schema evolution recovery, Schema evolution optimization;Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.;Tilmann Zäschke, Stefania Leone, Moira C. Norrie;2012;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/ZaschkeLN12;https://doi.org/10.1007/978-3-642-34002-4_29;369-382;;;;;10.1007/978-3-642-34002-4_29
conf/ercimdl/Brunsmann11;2-s2.0-84891791855;;;;;;;Reject? A system architecture for product metadata lifecycle management, no specific details or research outcomes on schema evolution;Semantic Exploration of Archived Product Lifecycle Metadata under Schema and Instance Evolution.;Jörg Brunsmann;2011;SDA;Conference and Workshop Papers;https://dblp.org/rec/conf/ercimdl/Brunsmann11;https://ceur-ws.org/Vol-801/paper3.pdf;37-47;;;;;
conf/eScience/SchulerK22;2-s2.0-85145438632;302;431, 411, 421;611;302: Relational;"431: Tool
411: Algebra
421: Algorithm (fully automated)";611: SMOs/Languages/Rigorous Models for schema evolution;(Schema change mapping among models) Extend SMOs to update the application conceptual model during db evolution, as well as integrity constraints within the db schema;Managing Database-Application Co-Evolution in a Scientific Data Ecosystem.;Robert E. Schuler, Carl Kesselman;2022;e-Science;Conference and Workshop Papers;https://dblp.org/rec/conf/eScience/SchulerK22;https://doi.org/10.1109/eScience55777.2022.00035;214-224;;;;;10.1109/ESCIENCE55777.2022.00035
conf/eScience/SchulerSVWBK23;2-s2.0-85174314936;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;(General framework) A simplified methodology (tutorial like) and case study on evolution of a scientific db;Database Evolution, by Scientists, for Scientists: A Case Study.;Robert E. Schuler, Jitin Singla, Brinda Vallat, Kate L. White, Helen M. Berman, Carl Kesselman;2023;e-Science;Conference and Workshop Papers;https://dblp.org/rec/conf/eScience/SchulerSVWBK23;https://doi.org/10.1109/e-Science58273.2023.10254872;1-Οκτ;;;;;10.1109/E-SCIENCE58273.2023.10254872
