key;EID;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
conf/dasfaa/ZengLGZZC24;2-s2.0-85206348357;;;;;;;;SLSM: An Efficient Strategy for Lazy Schema Migration on Shared-Nothing Databases.;Zhilin Zeng, Hui Li, Xiyue Gao, Hui Zhang, Huiquan Zhang, Jiangtao Cui;2024;DASFAA;Conference and Workshop Papers;https://dblp.org/rec/conf/dasfaa/ZengLGZZC24;https://doi.org/10.1007/978-981-97-5552-3_24;357-367;;;;;10.1007/978-981-97-5552-3_24
conf/data/HerrmannRVDFSL15;2-s2.0-84964931551;302;431;631;302: Relational;431: Tool;631: Guaranteeing the correctness/validity of schema and application code coevolution;Tool to allow the evolution of software product lines;Database Evolution for Software Product Lines.;Kai Herrmann , Jan Reimann , Hannes Voigt, Birgit Demuth, Stefan Fromm, Robert Stelzmann, Wolfgang Lehner;2015;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/HerrmannRVDFSL15;https://doi.org/10.5220/0005484101250133;125-133;;;;;10.5220/0005484101250133
conf/data/MohapatraHVLTL18;2-s2.0-85071417566;302;422, 431;635;302: Relational;"422: Method (not fully automated)
431: Tool";635: Guaranteeing the zerodowntime of the evolution of a working system;Method and tool for migrating data via views, triggers, stored-procedures when schemata evolve;Seamless Database Evolution for Cloud Applications.;Aniket Mohapatra, Kai Herrmann , Hannes Voigt, Simon Lüders, Tsvetan Tsokov, Wolfgang Lehner;2018;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/MohapatraHVLTL18;https://doi.org/10.5220/0006845101970207;197-207;;;;;10.5220/0006845101970207
conf/dexa/AmaviCAR14;2-s2.0-84958543412;303;421;678;303: XML;421: Algorithm (fully automated);678: Handling of schema mappings among any two schemata;Schema mappings among schema versions for XML data;A ToolBox for Conservative XML Schema Evolution and Document Adaptation.;Joshua Amavi, Jacques Chabin, Mirian Halfeld Ferrari Alves, Pierre Réty;2014;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/AmaviCAR14;https://doi.org/10.1007/978-3-319-10073-9_24;299-307;;;;;10.1007/978-3-319-10073-9_24
conf/dexa/GuedesBM16;2-s2.0-84981188311;301;422;663;301: Conceptual (ER/UML/Other);422: Method (not fully automated);663: Schema design to gracefully sustain evolution;Method for the design of databases via db modules, to sustain evolution;Evolutionary Database Design: Enhancing Data Abstraction Through Database Modularization to Achieve Graceful Schema Evolution.;Gustavo Bartz Guedes, Gisele Busichia Baioco, Regina Lúcia de Oliveira Moraes;2016;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/GuedesBM16;https://doi.org/10.1007/978-3-319-44403-1_22;355-369;;;;;10.1007/978-3-319-44403-1_22
conf/dexa/HuoT12;2-s2.0-84866027812;302;421, 432;677;302: Relational;"421: Algorithm (fully automated)
432: DBMS internal mechanism";677: Schema version management techniques;Algorithms for maintaining branched schema versions, and allowing query processing;Querying Transaction-Time Databases under Branched Schema Evolution.;Wenyu Huo, Vassilis J. Tsotras;2012;DEXA;Conference and Workshop Papers;https://dblp.org/rec/conf/dexa/HuoT12;https://doi.org/10.1007/978-3-642-32600-4_20;265-280;;;;;10.1007/978-3-642-32600-4_20
conf/dmah-ws/StiemerVSS20;2-s2.0-85103542795;306;431, 432;649;306: Multimodel (eg Polystores);"431: Tool
432: DBMS internal mechanism";649: Data migration: other;Concepts and short discusion of tool for data migration in polystores;PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.;Alexander Stiemer, Marco Vogt , Heiko Schuldt, Uta Störl;2020;Poly/DMAH@VLDB;Conference and Workshop Papers;https://dblp.org/rec/conf/dmah-ws/StiemerVSS20;https://doi.org/10.1007/978-3-030-71055-2_4;42-53;;;;;10.1007/978-3-030-71055-2_4
conf/doceng/HasegawaIS13;2-s2.0-84924452788;303;421, 431;633;303: XML;"421: Algorithm (fully automated)
431: Tool";633: Guaranteeing the correctness/validity of peripheral constructs during evolution;Algorithm to maintain XPath queries when the schema evolves;An Algorithm for Transforming XPath Expressions According to Schema Evolution.;Kazuma Hasegawa, Kosetsu Ikeda, Nobutaka Suzuki;2013;DChanges;Conference and Workshop Papers;https://dblp.org/rec/conf/doceng/HasegawaIS13;https://ceur-ws.org/Vol-1008/paper4.pdf;;;;;;
conf/doceng/WuS15;2-s2.0-84959251953;303;421;621;303: XML;421: Algorithm (fully automated);621: Impact to peripheral constructs when the core schema changes;Algorithm for detecting xslt rules affected by schema evolution;Detecting XSLT Rules Affected by Schema Evolution.;Yang Wu, Nobutaka Suzuki;2015;DocEng;Conference and Workshop Papers;https://dblp.org/rec/conf/doceng/WuS15;https://doi.org/10.1145/2682571.2797086;143-146;;;;;10.1145/2682571.2797086
conf/ebiss/ManousisVZP15;2-s2.0-84978701719;;;;;;;EXCLUDE: Survey paper, for the occasion of a doctoral school.;Schema Evolution for Databases and Data Warehouses.;Petros Manousis, Panos Vassiliadis, Apostolos V. Zarras, George Papastefanatos;2015;eBISS;Conference and Workshop Papers;https://dblp.org/rec/conf/ebiss/ManousisVZP15;https://doi.org/10.1007/978-3-319-39243-1_1;Ιαν-31;;;;;10.1007/978-3-319-39243-1_1
conf/edbt/AthinaiouK19;2-s2.0-85062664005;302;431;677;302: Relational;431: Tool;677: Schema version management techniques;A tool to answer provenance queries for schema versions, when the respective SMOs are available;VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.;Christos Athinaiou, Haridimos Kondylakis;2019;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/AthinaiouK19;https://ceur-ws.org/Vol-2322/BigVis_9.pdf;;;;;;
conf/edbt/ChillonMHO23;2-s2.0-85159002211;;;;;;;;Propagating Schema Changes to Code: An Approach Based on a Unified Data Model.;Alberto Hernández Chillón, Jesús García Molina, José Ramón Hoyos, María-José Ortín-Ibáñez;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/ChillonMHO23;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id251_Alberto_Hernandez_Chillon.pdf;;;;;;
conf/edbt/LiuHHC11;2-s2.0-79953841370;305;421;611;305: NoSQL (Graph/ JSON/Key-Value/Other);421: Algorithm (fully automated);611: SMOs/Languages/Rigorous Models for schema evolution;Algorithms for Splitting and Merging tables for Column-Oriented DBs;Efficient and scalable data evolution with column oriented databases.;Ziyang Liu , Bin He , Hui-I Hsiao, Yi Chen;2011;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/LiuHHC11;https://doi.org/10.1145/1951365.1951380;105-116;;;;;10.1145/1951365.1951380
conf/edbt/StorlKS20;2-s2.0-85084180969;;;;;;;EXCLUDE? Tutorial.;NoSQL Schema Evolution and Data Migration: State-of-the-Art and Opportunities.;Uta Störl, Meike Klettke, Stefanie Scherzinger;2020;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/StorlKS20;https://doi.org/10.5441/002/edbt.2020.87;655-658;;;;;10.5441/002/EDBT.2020.87
conf/edbt/Suarez-OteroMCT23;2-s2.0-85159018708;;;;;;;;Data migration in column family database evolution using MDE.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/Suarez-OteroMCT23;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id250_Pablo_Suarez_Otero.pdf;;;;;;
conf/edbt/Vassiliadis025;2-s2.0-105007923832;;;;;;;;Time-Related Patterns Of Schema Evolution.;Panos Vassiliadis, Alexandros Karakasidis;2025;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/Vassiliadis025;https://doi.org/10.48786/edbt.2025.25;310-323;;;;;10.48786/EDBT.2025.25
conf/edbt/VassiliadisSKZ23;2-s2.0-85135905356;;;;;;;;Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.;Panos Vassiliadis, Fation Shehaj, George Kalampokis, Apostolos V. Zarras;2023;EDBT;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/VassiliadisSKZ23;https://doi.org/10.48786/edbt.2023.03;27-39;;;;;10.48786/EDBT.2023.03
conf/er/BenatsM0C22;2-s2.0-85138724686;;;;;;;;Query-based Schema Evolution Recommendations for Hybrid Polystores.;Pol Benats, Loup Meurice, Maxime Gobert , Anthony Cleve;2022;ER Forum/PhD Symposium;Conference and Workshop Papers;https://dblp.org/rec/conf/er/BenatsM0C22;https://ceur-ws.org/Vol-3211/CR_122.pdf;;;;;;
conf/er/BonifatiFGHOV19;2-s2.0-85076177905;305;422;634;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);634: Guaranteeing the correctness/validity of schema constraints during evolution;Validation of whether an evolving property graph instance abides by the prescribed schema;Schema Validation and Evolution for Graph Databases.;Angela Bonifati, Peter Furniss, Alastair Green, Russ Harmer, Eugenia Oshurko, Hannes Voigt;2019;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/BonifatiFGHOV19;https://doi.org/10.1007/978-3-030-33223-5_37;448-456;;;;;10.1007/978-3-030-33223-5_37
conf/er/BrainingerMS20;2-s2.0-85098271438;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;Case study for NoSQL schema evolution;Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.;Dimitri Braininger, Wolfgang Mauerer, Stefanie Scherzinger;2020;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/BrainingerMS20;https://doi.org/10.1007/978-3-030-65847-2_19;210-219;;;;;10.1007/978-3-030-65847-2_19
conf/er/CaruccioPT18;2-s2.0-85055419249;302;422;633;302: Relational;422: Method (not fully automated);633: Guaranteeing the correctness/validity of peripheral constructs during evolution;Method for query/view rewritting in the presence of schema evolution;Dependency-Based Query/View Synchronization upon Schema Evolutions.;Loredana Caruccio, Giuseppe Polese, Genoveffa Tortora;2018;ER Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/er/CaruccioPT18;https://doi.org/10.1007/978-3-030-01391-2_17;91-105;;;;;10.1007/978-3-030-01391-2_17
conf/er/ChillonRM21a;2-s2.0-85118136056;;;;;;;;Towards a Taxonomy of Schema Changes for NoSQL Databases: The Orion Language.;Alberto Hernández Chillón, Diego Sevilla Ruiz, Jesús García Molina;2021;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/ChillonRM21a;https://doi.org/10.1007/978-3-030-89022-3_15;176-185;;;;;10.1007/978-3-030-89022-3_15
conf/er/DimolikasZV20;2-s2.0-85097436953;302;402;675, 650;302: Relational;402: Empirical Study;"675: Computing the diachronic schema
650: Understanding how schemata evolve";Case study on how the FK topology of a table relates to how it evolves;"A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.";Konstantinos Dimolikas, Apostolos V. Zarras, Panos Vassiliadis;2020;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/DimolikasZV20;https://doi.org/10.1007/978-3-030-62522-1_34;456-470;;;;;10.1007/978-3-030-62522-1_34
conf/er/GaoZ12;2-s2.0-84868305003;302;431;647;302: Relational;431: Tool;647: Storing provenance information for data migration;A tool for capturing the provenance of schema constructs;Supporting Database Provenance under Schema Evolution.;Shi Gao, Carlo Zaniolo;2012;ER Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/er/GaoZ12;https://doi.org/10.1007/978-3-642-33999-8_9;67-77;;;;;10.1007/978-3-642-33999-8_9
conf/er/GiachosPBZV23;2-s2.0-85184350607;;;;;;;;Parallel lives diagrams for co-evolving communities and their application to schema evolution.;Fanis Giachos, Nikos Pantelidis, Christos Batsilas, Apostolos V. Zarras, Panos Vassiliadis;2023;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/GiachosPBZV23;https://ceur-ws.org/Vol-3618/forum_paper_19.pdf;;;;;;
conf/er/HauslerKS23;2-s2.0-85184350146;;;;;;;;A language for graph database evolution and its implementation in Neo4j.;Dominique Hausler, Meike Klettke, Uta Störl;2023;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/HauslerKS23;https://ceur-ws.org/Vol-3618/forum_paper_8.pdf;;;;;;
conf/er/HillenbrandSS21;2-s2.0-85118155847;;;;;;;;Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Stefanie Scherzinger, Uta Störl;2021;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/HillenbrandSS21;https://doi.org/10.1007/978-3-030-89022-3_13;149-159;;;;;10.1007/978-3-030-89022-3_13
conf/er/QuintarelliRT11;2-s2.0-80455168053;309;411;611;309: Other;411: Algebra;611: SMOs/Languages/Rigorous Models for schema evolution;Model for context schema and algebra for its evolution;Context Schema Evolution in Context-Aware Data Management.;Elisa Quintarelli, Emanuele Rabosio, Letizia Tanca;2011;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/QuintarelliRT11;https://doi.org/10.1007/978-3-642-24606-7_22;290-303;;;;;10.1007/978-3-642-24606-7_22
conf/er/ScherzingerS20;2-s2.0-85097385437;;;;;;;;An Empirical Study on the Design and Evolution of NoSQL Database Schemas.;Stefanie Scherzinger, Sebastian Sidortschuck;2020;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/ScherzingerS20;https://doi.org/10.1007/978-3-030-62522-1_33;441-455;;;;;10.1007/978-3-030-62522-1_33
conf/er/Suarez-OteroMCT21;2-s2.0-85118137382;;;;;;;;An Integrated Approach for Column-Oriented Database Application Evolution Using Conceptual Models.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2021;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/Suarez-OteroMCT21;https://doi.org/10.1007/978-3-030-88358-4_3;26-32;;;;;10.1007/978-3-030-88358-4_3
conf/er/VassiliadisKZZ17;2-s2.0-85033445497;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;Case study on how foreign keys evolve;Schema Evolution and Foreign Keys: Birth, Eviction, Change and Absence.;Panos Vassiliadis, Michail-Romanos Kolozoff, Maria Zerva, Apostolos V. Zarras;2017;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/VassiliadisKZZ17;https://doi.org/10.1007/978-3-319-69904-2_9;106-119;;;;;10.1007/978-3-319-69904-2_9
conf/er/ZaschkeLN12;2-s2.0-84868330112;304;422, 431;641;304: Object Oriented DBs;"422: Method (not fully automated)
431: Tool";641: Data migration script generation;Method for extracting sequences of SMOs to modify a version of an OO database to another;Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.;Tilmann Zäschke, Stefania Leone, Moira C. Norrie;2012;ER;Conference and Workshop Papers;https://dblp.org/rec/conf/er/ZaschkeLN12;https://doi.org/10.1007/978-3-642-34002-4_29;369-382;;;;;10.1007/978-3-642-34002-4_29
conf/ercimdl/Brunsmann11;2-s2.0-84891791855;305;422;678;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);678: Handling of schema mappings among any two schemata;Method for capturing provenance for LOD metadata;Semantic Exploration of Archived Product Lifecycle Metadata under Schema and Instance Evolution.;Jörg Brunsmann;2011;SDA;Conference and Workshop Papers;https://dblp.org/rec/conf/ercimdl/Brunsmann11;https://ceur-ws.org/Vol-801/paper3.pdf;37-47;;;;;
conf/eScience/SchulerK22;2-s2.0-85145438632;;;;;;;;Managing Database-Application Co-Evolution in a Scientific Data Ecosystem.;Robert E. Schuler, Carl Kesselman;2022;e-Science;Conference and Workshop Papers;https://dblp.org/rec/conf/eScience/SchulerK22;https://doi.org/10.1109/eScience55777.2022.00035;214-224;;;;;10.1109/ESCIENCE55777.2022.00035
conf/eScience/SchulerSVWBK23;2-s2.0-85174314936;;;;;;;;Database Evolution, by Scientists, for Scientists: A Case Study.;Robert E. Schuler, Jitin Singla, Brinda Vallat, Kate L. White, Helen M. Berman, Carl Kesselman;2023;e-Science;Conference and Workshop Papers;https://dblp.org/rec/conf/eScience/SchulerSVWBK23;https://doi.org/10.1109/e-Science58273.2023.10254872;1-Οκτ;;;;;10.1109/E-SCIENCE58273.2023.10254872
conf/eurosys/LittHH21;2-s2.0-85104581833;;;;;;;;Cambria: Schema Evolution in Distributed Systems with Edit Lenses.;Geoffrey Litt, Peter van Hardenberg, Orion Henry;2021;PaPoC@EuroSys;Conference and Workshop Papers;https://dblp.org/rec/conf/eurosys/LittHH21;https://doi.org/10.1145/3447865.3457963;8:1-8:9;;;;;10.1145/3447865.3457963
conf/foiks/Ravve16;2-s2.0-84960326129;302;412;621, 633;302: Relational;412: Theoretical Proof;"621: Impact to peripheral constructs when the core schema changes
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";Correctness theorems for view recomputations for changing schemata;Maintenance of Queries Under Database Changes: A Unified Logic Based Approach.;Elena V. Ravve;2016;FoIKS;Conference and Workshop Papers;https://dblp.org/rec/conf/foiks/Ravve16;https://doi.org/10.1007/978-3-319-30024-5_11;191-208;;;;;10.1007/978-3-319-30024-5_11
