EID;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;Authors;AuthorFullNames;AuthorIDs;Title;Year;SourceTitle;Volume;Issue;ArtNo;PageStart;PageEnd;citedBy;doi_lowercase;DOI;Link;DocumentTypeSCOPUS;PublicationStage;OpenAccess;SourceSCOPUS
2-s2.0-84869035081;304;431;677;304: Object Oriented DBs;431: Tool;677: Schema version management techniques;Evolution of an object-oriented database in the context of orthogonal persistent programming systems is addressed. It is a framework for accessing data of different versions.;Pereira R.H.R., Perez-Schofield J.B.G.;Pereira, Rui Humberto R. (55421047200) | Perez-Schofield, J. Baltasar GarcÃ­a (6507068517);55421047200 | 6507068517;Database evolution on an orthogonal persistent programming system: A semi-transparent approach;2012;Iberian Conference on Information Systems and Technologies, CISTI;;;6263182;;;;;;https://www.scopus.com/pages/publications/84869035081?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84876314550;302;421;635, 661;302: Relational;421: Algorithm (fully automated);"635: Guaranteeing the zerodowntime of the evolution of a working system
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";Migrating applications through consecutive schemas using operators, cost models and a genetic algorithm for optimum paths and zero downtime;Yan J., Zhang B.;Yan, Jianfeng (26666138800) | Zhang, Bo (55902382800);26666138800 | 55902382800;Enabling migration of enterprise applications in SaaS via progressive schema evolution;2011;Lecture Notes in Business Information Processing;74 LNBIP;;;229;256;;10.1007/978-3-642-19294-4_10;10.1007/978-3-642-19294-4_10;https://www.scopus.com/pages/publications/84876314550?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84890886044;302, 308;422;661;"302: Relational
308: ORM";422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Automatic way to migrate from relational to object relational using metadata and object inheritance. A prototype was built.;Bahaj M., El Alami A.;Bahaj, Mohamed (24922487300) | El Alami, Alae (57189498602);24922487300 | 57189498602;The migration of data from a Relational Database (RDB) to an Object Relational (ORDB) Database;2013;Journal of Theoretical and Applied Information Technology;58;2;;261;269;;;;https://www.scopus.com/pages/publications/84890886044?origin=resultslist;Article;Final;;Scopus
2-s2.0-84904489076;;;;;;;;Jainae J., Suwannasart T.;Jainae, Jiratchaya (56278652400) | Suwannasart, Taratip (8963028800);56278652400 | 8963028800;A tool for test case impact analysis of database schema changes using use cases;2014;ICISA 2014 - 2014 5th International Conference on Information Science and Applications;;;6847346;;;;10.1109/icisa.2014.6847346;10.1109/ICISA.2014.6847346;https://www.scopus.com/pages/publications/84904489076?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84921993063;;;;;;;;Dividino R., Scherp A., Gröner G., Gottron T.;Dividino, Renata (26423642100) | Scherp, Ansgar (55897911000) | GrÃ¶ner, Gerd (36184417500) | Gottron, Thomas (23995063700);26423642100 | 55897911000 | 36184417500 | 23995063700;Change-a-LOD: Does the schema on the linked data cloud change or not?;2013;CEUR Workshop Proceedings;1034;;;;;;;;https://www.scopus.com/pages/publications/84921993063?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84923658503;;;;;;;;Beine M., Hames N., Weber J.H., Cleve A.;Beine, Mathieu (56530543200) | Hames, Nicolas (56530794300) | Weber, Jens H. (35761701000) | Cleve, Anthony (8694759600);56530543200 | 56530794300 | 35761701000 | 8694759600;Bidirectional transformations in database evolution: A case study at scale;2014;CEUR Workshop Proceedings;1133;;;100;107;;;;https://www.scopus.com/pages/publications/84923658503?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84925218425;301, 303;401;611;"301: Conceptual (ER/UML/Other)
303: XML";401: General Framework;611: SMOs/Languages/Rigorous Models for schema evolution;EMX is a conceptual model providing a simplified representation of XSD used to facilitate evolution so that users modify this conceptual schema rather than XSD;Nösinger T., Klettke M., Heuer A.;NÃ¶singer, Thomas (55531864500) | Klettke, Meike (16039653400) | Heuer, Andreas (9533312500);55531864500 | 16039653400 | 9533312500;A conceptual model for the XML Schema evolution: Overview: Storing, base-model-mapping and visualization;2013;CEUR Workshop Proceedings;1020;;;28;33;;;;https://www.scopus.com/pages/publications/84925218425?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84946690059;302;401;678;302: Relational;401: General Framework;678: Handling of schema mappings among any two schemata;Taxonomy on schema-change methods and framework for different evolution scenarios;Masood N., Andleeb N.;Masood, Nayyer (26666146800) | Andleeb, Naira (56568434400);26666146800 | 56568434400;A taxonomy of changes in schema evolution;2014;2014 International Conference on Computational Science and Technology, ICCST 2014;;;7045196;;;;10.1109/iccst.2014.7045196;10.1109/ICCST.2014.7045196;https://www.scopus.com/pages/publications/84946690059?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84971378898;302, 304;422;661;"302: Relational
304: Object Oriented DBs";422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Automatic way to migrate from relational to object oriented using semantic enrichment and a meta model. A prototype was built.;El Alami A., Bahaj M., Cherti I.;El Alami, Alae (57189498602) | Bahaj, Mohamed (24922487300) | Cherti, Ilias (55572331900);57189498602 | 24922487300 | 55572331900;Migration of a relational database RDB to an object oriented database OODB;2016;Journal of Theoretical and Applied Information Technology;87;3;;431;441;;;;https://www.scopus.com/pages/publications/84971378898?origin=resultslist;Article;Final;;Scopus
2-s2.0-85042182832;302;422;677;302: Relational;422: Method (not fully automated);677: Schema version management techniques;An automatic approach for migrating a MySQL database into HBase within the Hadoop ecosystem using semantic enrichment and object oriented extraction.;Kiatphao P., Suwannasart T.;Kiatphao, Parichat (57200686003) | Suwannasart, Taratip (8963028800);57200686003 | 8963028800;Version control on database schema and test cases from functional requirements⇔ input changes;2017;Lecture Notes in Engineering and Computer Science;2227;;;479;483;;;;https://www.scopus.com/pages/publications/85042182832?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85048004679;;;;;;;;Unal Y., Oguztuzun H.;Unal, Yelda (57202347166) | Oguztuzun, Halit (24335821400);57202347166 | 24335821400;Migration of data from relational database to graph database;2018;ACM International Conference Proceeding Series;;;Y;;;;10.1145/3200842.3200852;10.1145/3200842.3200852;https://www.scopus.com/pages/publications/85048004679?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85054530451;302, 305;422;642;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);642: Cross vendor data migration;What the title says;Solanke G.B., Rajeswari K.;Solanke, Ganesh B. (57203226314) | Rajeswari, K. (6601981341);57203226314 | 6601981341;Migration of Relational Database to MongoDB and Data Analytics using Naive Bayes Classifier based on Mapreduce Approach;2017;2017 International Conference on Computing, Communication, Control and Automation, ICCUBEA 2017;;;8463830;;;;10.1109/iccubea.2017.8463830;10.1109/ICCUBEA.2017.8463830;https://www.scopus.com/pages/publications/85054530451?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85055729362;302, 305;422;661;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;An automatic approach for migrating a MySQL database into HBase within the Hadoop ecosystem using semantic enrichment and object oriented extraction.;Khourdifi Y., Bahaj M., Elalami A.;Khourdifi, Youness (57202871015) | Bahaj, Mohamed (24922487300) | Elalami, Alae (57189498602);57202871015 | 24922487300 | 57189498602;A new approach for migration of a relational database into column-oriented nosql database on hadoop;2018;Journal of Theoretical and Applied Information Technology;96;19;;6607;;;;;https://www.scopus.com/pages/publications/85055729362?origin=resultslist;Article;Final;;Scopus
2-s2.0-85060098090;;;;;;;;Wijaya Y.S., Akhmadarman A.;Wijaya, Yansyah Saputra (57205459559) | Akhmadarman, Arry (57205453900);57205459559 | 57205453900;A Framework for Data Migration between Different Datastore of NoSQL Database;2018;Proceeding - 2018 International Conference on ICT for Smart Society: Innovation Toward Smart Society and Society 5.0, ICISS 2018;;;8549944;;;;10.1109/ictss.2018.8549944;10.1109/ICTSS.2018.8549944;https://www.scopus.com/pages/publications/85060098090?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85063281659;N/A;N/A;N/A;;;;Check if relational can be migrated to HBase.;Bousalem Z., Cherti I., Zhao G.;Bousalem, Zakaria (57201667887) | Cherti, Ilias (55572331900) | Zhao, Gansen (35218519700);57201667887 | 55572331900 | 35218519700;Migration from relational databases to HBase: A feasibility assessment;2018;Lecture Notes in Networks and Systems;25;;;383;395;;10.1007/978-3-319-69137-4_34;10.1007/978-3-319-69137-4_34;https://www.scopus.com/pages/publications/85063281659?origin=resultslist;Book chapter;Final;;Scopus
2-s2.0-85069445080;305;421;611, 677;305: NoSQL (Graph/ JSON/Key-Value/Other);421: Algorithm (fully automated);"611: SMOs/Languages/Rigorous Models for schema evolution
677: Schema version management techniques";Automatically check validity of updates and produce new implicit schema version;Brahmia Z., Brahmia S., Grandi F., Bouaziz R.;Brahmia, Zouhaier (24775104500) | Brahmia, Safa (57190567664) | Grandi, Fabio (7004017968) | Bouaziz, Rafik (15076509300);24775104500 | 57190567664 | 7004017968 | 15076509300;Implicit JSON Schema Versioning Driven by Big Data Evolution in the τJSchema Framework;2020;Lecture Notes in Networks and Systems;81;;;23;35;;10.1007/978-3-030-23672-4_3;10.1007/978-3-030-23672-4_3;https://www.scopus.com/pages/publications/85069445080?origin=resultslist;Book chapter;Final;;Scopus
2-s2.0-85073185312;;;;;;;;Möller M.L., Klettke M., Störl U.;MÃ¶ller, Mark Lukas (57202918730) | Klettke, Meike (16039653400) | StÃ¶rl, Uta (23037278500);57202918730 | 16039653400 | 23037278500;Keeping NoSQL databases up to date – Semantics of evolution operations and their impact on data quality;2019;CEUR Workshop Proceedings;2454;;;;;;;;https://www.scopus.com/pages/publications/85073185312?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85078264134;302, 305;401;662;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";401: General Framework;662: Recommendations for specific, focused schema changes;Empirical comparison of nosql schema design strategies in RDBMS to NoSQL migration.;Namdeo B., Suman U.;Namdeo, Basant (57214105184) | Suman, Ugrasen (36700382100);57214105184 | 36700382100;Performance analysis of schema design approaches for migration from RDBMS to NOSQL databases;2020;Lecture Notes in Networks and Systems;94;;;413;424;;10.1007/978-981-15-0694-9_39;10.1007/978-981-15-0694-9_39;https://www.scopus.com/pages/publications/85078264134?origin=resultslist;Book chapter;Final;;Scopus
2-s2.0-85091790781;302, 305;421;662;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";421: Algorithm (fully automated);662: Recommendations for specific, focused schema changes;SDAM facilitates migration from relational to NoSQL automatically choosing the lowest cost approach.;Namdeo B., Suman U.;Namdeo, Basant (57214105184) | Suman, Ugrasen (36700382100);57214105184 | 36700382100;Schema design advisor model for RDBMS to NoSQL database migration;2021;International Journal of Information Technology (Singapore);13;1;;277;286;;10.1007/s41870-020-00515-8;10.1007/s41870-020-00515-8;https://www.scopus.com/pages/publications/85091790781?origin=resultslist;Article;Final;;Scopus
2-s2.0-85103461245;305;413;611;305: NoSQL (Graph/ JSON/Key-Value/Other);413: Language;611: SMOs/Languages/Rigorous Models for schema evolution;Uses Jupdate language and adds operators (are schema change the same with schema mapping?).;Brahmia Z., Brahmia S., Grandi F., Bouaziz R.;Brahmia, Zouhaier (24775104500) | Brahmia, Safa (57190567664) | Grandi, Fabio (7004017968) | Bouaziz, Rafik (15076509300);24775104500 | 57190567664 | 7004017968 | 15076509300;Implementation of High-Level JSON Schema Change Operations Using JUpdate;2021;Smart Innovation, Systems and Technologies;205;;;255;265;;10.1007/978-981-33-4183-8_21;10.1007/978-981-33-4183-8_21;https://www.scopus.com/pages/publications/85103461245?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85103739989;302, 305;422;642;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);642: Cross vendor data migration;A barrier for handling updates when migrating from MySQL to MongoDB;Ceresnak R., Matiasko K.;Ceresnak, Roman (57210554509) | Matiasko, Karol (24438346400);57210554509 | 24438346400;Synchronization Barrier in Database Migration processes;2020;ICETA 2020 - 18th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings;;;9379163;52;58;;10.1109/iceta51985.2020.9379163;10.1109/ICETA51985.2020.9379163;https://www.scopus.com/pages/publications/85103739989?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85104614223;307;422;644;307: Model-Independent;422: Method (not fully automated);644: Efficiently performing eager data migration;Estimating migration duration and cost during cloud database migration;Kumar A., Sivak Kumar M., Namdeo V.;Kumar, Amit (58603409100) | Sivak Kumar, M. (57223044305) | Namdeo, Varsha (56805176900);58603409100 | 57223044305 | 56805176900;A regression-based hybrid machine learning technique to enhance the database migration in cloud environment;2021;Proceedings - IEEE 2021 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2021;;;9397123;149;155;;10.1109/icccis51004.2021.9397123;10.1109/ICCCIS51004.2021.9397123;https://www.scopus.com/pages/publications/85104614223?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85108029163;302, 305;422;643;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);643: Efficiently performing lazy data migration;A migration framework of database snapshots from MySQL to MongoDB using two streans using Kafka;Namdeo B., Suman U.;Namdeo, Basant (57214105184) | Suman, Ugrasen (36700382100);57214105184 | 36700382100;A Model for Relational to NoSQL database Migration: Snapshot-Live Stream Db Migration Model;2021;2021 7th International Conference on Advanced Computing and Communication Systems, ICACCS 2021;;;9441829;199;204;;10.1109/icaccs51430.2021.9441829;10.1109/ICACCS51430.2021.9441829;https://www.scopus.com/pages/publications/85108029163?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85123207789;302;422;644;302: Relational;422: Method (not fully automated);644: Efficiently performing eager data migration;A migration system for virtual machines managing multiple MySQL databases;Hsieh C.-H., Li Y., Ni B., Zhang Q., Wang R., Sun G., Wang H., Xu Y.;Hsieh, Chao-Hsien (57193699615) | Li, Yabing (57419885900) | Ni, Bingxue (57419358800) | Zhang, Qing (57223221479) | Wang, Ruobing (57419178200) | Sun, Guannan (57419536900) | Wang, Hongmei (56031074000) | Xu, Ya (57419714900);57193699615 | 57419885900 | 57419358800 | 57223221479 | 57419178200 | 57419536900 | 56031074000 | 57419714900;A Migration System of Database for Virtual Machine in Cloud Computing;2021;2021 4th International Conference on Information Communication and Signal Processing, ICICSP 2021;;;;582;587;;10.1109/icicsp54369.2021.9611882;10.1109/ICICSP54369.2021.9611882;https://www.scopus.com/pages/publications/85123207789?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85123894173;302, 305;422;645;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);645: Data migration strategy determination;An 11 step methodology for analyzing relational and NoSQL systems in preparation for migration. Produces migration models;Erraji A., Maizate A., Ozzif M.;Erraji, Abdelhak (57436410100) | Maizate, Abderrahim (55820871000) | Ozzif, Mohamed (57436410200);57436410100 | 55820871000 | 57436410200;Toward a Smart Approach of Migration from Relational Database System to NoSQL System: Analyzing and Modeling;2022;Lecture Notes on Data Engineering and Communications Technologies;110;;;206;217;;10.1007/978-3-030-94188-8_20;10.1007/978-3-030-94188-8_20;https://www.scopus.com/pages/publications/85123894173?origin=resultslist;Book chapter;Final;;Scopus
2-s2.0-85124493780;302, 305;499;680;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";499: Other;680: General observations/concepts/guidelines around schema evolution;Which NoSQL database category is the most suitable for migration from relational. They define 19 criteria derived from relational database characteristics and evaluate the four NoSQL categories using the Weighted Sum Method . Document-oriented NoSQL databases are the closest match to relational databases os it is the best starting point for achieving complete migration.;Erraji A., Maizate A., Ouzzif M.;Erraji, Abdelhak (57436410100) | Maizate, Abderrahim (55820871000) | Ouzzif, Mohammed (24178281900);57436410100 | 55820871000 | 24178281900;MULTI-CRITERIA ANALYSIS BETWEEN NOSQL DATABASES CATEGORIES TOWARD A COMPLETE MIGRATION FROM RELATIONAL DATABASE;2022;Journal of Theoretical and Applied Information Technology;100;1;;61;69;;;;https://www.scopus.com/pages/publications/85124493780?origin=resultslist;Article;Final;;Scopus
2-s2.0-85125656416;302, 305;422;661;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;A method to migrate Postgres to Cassandra;Shah K., Bhavsar H.;Shah, Krina (57645408900) | Bhavsar, Hetal (35193625200);57645408900 | 35193625200;Designing a Framework for Data Migration of Odoo ERP PostgreSQL Database into NoSQL Database;2020;New Trends in Computational Vision and Bio-Inspired Computing - Selected Works Presented at the ICCVBIC 2018;;;;491;500;;10.1007/978-3-030-41862-5_47;10.1007/978-3-030-41862-5_47;https://www.scopus.com/pages/publications/85125656416?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85126342434;302, 305;422;661;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Migration from PostgreSQL to Cassandra, using reverse engineering to construct a conceptual schema.;Dourhri A., Hanine M., Ouahmane H.;Dourhri, Ahmed (57488024900) | Hanine, Mohamed (57219370936) | Ouahmane, Hassan (55672607400);57488024900 | 57219370936 | 55672607400;A New Algorithm for Data Migration from a Relational to a NoSQL Oriented Column Database;2022;Lecture Notes in Networks and Systems;393;;;795;814;;10.1007/978-3-030-94191-8_64;10.1007/978-3-030-94191-8_64;https://www.scopus.com/pages/publications/85126342434?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85126384176;302, 305;422;661;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422: Method (not fully automated);661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Similar to the previous one, this paper focuses on key transformations.;Erraji A., Maizate A., Ouzzif M.;Erraji, Abdelhak (57436410100) | Maizate, Abderrahim (55820871000) | Ouzzif, Mohammed (24178281900);57436410100 | 55820871000 | 24178281900;Toward a Smart Approach of Migration from Relational System DataBase to NoSQL System: Transformation Rules of Structure;2022;Lecture Notes in Networks and Systems;393;;;783;794;;10.1007/978-3-030-94191-8_63;10.1007/978-3-030-94191-8_63;https://www.scopus.com/pages/publications/85126384176?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85132740149;;;;;;;;Queiroz J.S., Falcão T.A., Furtado P.M., Soares F.L., Souza T.B.F., Cleis P.V.V.P., Santos F.S., Giuntini F.T.;Queiroz, Jordan S. (57762041600) | FalcÃ£o, Thiago A. (57763225000) | Furtado, Phillip M. (57762041700) | Soares, FabrÃ­cio L. (57762276900) | Souza, Tafarel Brayan F. (57763225100) | Cleis, Pedro Vitor V. P. (57762753500) | Santos, Flavia S. (57224114582) | Giuntini, Felipe T. (57194024817);57762041600 | 57763225000 | 57762041700 | 57762276900 | 57763225100 | 57762753500 | 57224114582 | 57194024817;AMANDA: A Middleware for Automatic Migration between Different Database Paradigms;2022;Applied Sciences (Switzerland);12;12;6106;;;;10.3390/app12126106;10.3390/app12126106;https://www.scopus.com/pages/publications/85132740149?origin=resultslist;Article;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
2-s2.0-85145854771;302, 305;431;642;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";431: Tool;642: Cross vendor data migration;DLoader is a framework for migrating Data from MySQL to Cassandra and MongoDB using Spark and HDFS;Rajaram K., Sharma P., Selvakumar S.;Rajaram, Kanchana (36343995500) | Sharma, Pankaj (57488415100) | Selvakumar, S. (57649837800);36343995500 | 57488415100 | 57649837800;DLoader: Migration of Data from SQL to NoSQL Databases;2023;Cognitive Science and Technology;;;;193;204;;10.1007/978-981-19-2358-6_19;10.1007/978-981-19-2358-6_19;https://www.scopus.com/pages/publications/85145854771?origin=resultslist;Book chapter;Final;;Scopus
2-s2.0-85177428773;;;;;;;;Syarbaini Siregar R.A., Azizah F.N.;Syarbaini Siregar, Rizky Anggita (58704500400) | Azizah, Fazat Nur (15135312100);58704500400 | 15135312100;Migration from Relational Database to Column-Oriented NoSQL Database;2023;Proceedings of 2023 IEEE International Conference on Data and Software Engineering, ICoDSE 2023;;;;174;179;;10.1109/icodse59534.2023.10291800;10.1109/ICoDSE59534.2023.10291800;https://www.scopus.com/pages/publications/85177428773?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-85177432260;;;;;;;;Tandya W., Azizah F.N.;Tandya, Wilson (58703583200) | Azizah, Fazat Nur (15135312100);58703583200 | 15135312100;Migration of Relational Database to NoSQL Document-Oriented Database;2023;Proceedings of 2023 IEEE International Conference on Data and Software Engineering, ICoDSE 2023;;;;180;185;;10.1109/icodse59534.2023.10291584;10.1109/ICoDSE59534.2023.10291584;https://www.scopus.com/pages/publications/85177432260?origin=resultslist;Conference paper;Final;;Scopus
