Reviewer2;EID;Authors;AuthorFullNames;AuthorIDs;Title;Year;SourceTitle;Volume;Issue;ArtNo;PageStart;PageEnd;citedBy;doi_lowercase;DOI;Link;DocumentTypeSCOPUS;PublicationStage;OpenAccess;SourceSCOPUS
N;2-s2.0-105037463115;Khan A., Vamshi Babu K.V., Kumar L., Joseph Jeyakumar D.J., Swapna T., Sharada K.;Khan, Azmath (57889879100) | Vamshi Babu, K.V. (60609268800) | Kumar, Lenin (60609144000) | Joseph Jeyakumar, D.J. (56287079600) | Swapna, Talari (60220551600) | Sharada, K. (60608884900);57889879100 | 60609268800 | 60609144000 | 56287079600 | 60220551600 | 60608884900;Scalable Machine Learning Feedback System for Adaptive Database Index Tuning Using Random Forest and Multi-Layer Perceptron Models;2025;Proceedings - 2025 IEEE 1st International Conference on Smart Innovations in Systems, Infrastructure, Mechanical, Power, AI and Computing Technologies, SISIMPACT 2025;;;;1494;1499;;10.1109/sisimpact67725.2025.11439258;10.1109/SISIMPACT67725.2025.11439258;https://www.scopus.com/pages/publications/105037463115?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-105037470427;Malviya S., Jaiswal A., Koli V.;Malviya, Shreekant (60549306200) | Jaiswal, Abhishek (60608748800) | Koli, Vivek (60608878100);60549306200 | 60608748800 | 60608878100;AI-Guided Schema Evolution and Real-Time Data Quality Enhancement in Multi-Source Pipelines;2025;1st IEEE International Conference on Data Science and Intelligent Network Computing, ICDSINC 2025;;;;658;662;;10.1109/icdsinc66221.2025.11448159;10.1109/ICDSINC66221.2025.11448159;https://www.scopus.com/pages/publications/105037470427?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-105037857736;Li J., Rong C., Cui Y., Chen T.;Li, Jitai (60614566700) | Rong, Chuitian (36159014600) | Cui, Yukun (60615037100) | Chen, Tiegang (57219646264);60614566700 | 36159014600 | 60615037100 | 57219646264;The Lightweight Optimization Techniques for Knobs Tuning of Database System Using Evolution Strategy;2025;Proceedings of the IEEE International Conference on Big Data, BigData;;2025;;7370;7377;;10.1109/bigdata66926.2025.11401736;10.1109/BigData66926.2025.11401736;https://www.scopus.com/pages/publications/105037857736?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-78650876694;Cheng C.-H., Chang J.-R., Wet L.-Y.;Cheng, Ching-Hsue (7404797459) | Chang, Jing-Rong (24467373500) | Wet, Liang-Ying (23062367300);7404797459 | 24467373500 | 23062367300;Adaptive-clustering based method to estimate null values in relational databases;2011;International Journal of Innovative Computing, Information and Control;7;1;;223;235;;;;https://www.scopus.com/pages/publications/78650876694?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-79951590870;Schewe K.-D., Wang Q.;Schewe, Klaus-Dieter (7004152293) | Wang, Qing (59837611000);7004152293 | 59837611000;Partial updates in complex-value databases;2011;Frontiers in Artificial Intelligence and Applications;225;;;37;56;;10.3233/978-1-60750-690-4-37;10.3233/978-1-60750-690-4-37;https://www.scopus.com/pages/publications/79951590870?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-79951617167;Yang X., Zhong S., Li Y., Lu W., Wu C.;Yang, Xin (23989940400) | Zhong, Shiquan (55813185900) | Li, Yuhong (37006746600) | Lu, Weiping (55232835300) | Wu, Chaohui (56132621300);23989940400 | 55813185900 | 37006746600 | 55232835300 | 56132621300;Application of background information database in trend change of agricultural land area of Guangxi;2011;IFIP Advances in Information and Communication Technology;347 AICT;PART 4;;575;582;;10.1007/978-3-642-18369-0_69;10.1007/978-3-642-18369-0_69;https://www.scopus.com/pages/publications/79951617167?origin=resultslist;Conference paper;Final;All Open Access | Bronze Open Access | Green Open Access;Scopus
N;2-s2.0-79951653172;Hegner S.J.;Hegner, Stephen J. (6602615545);6602615545;A simple model of negotiation for cooperative updates on database schema components;2011;Frontiers in Artificial Intelligence and Applications;225;;;154;173;;10.3233/978-1-60750-690-4-154;10.3233/978-1-60750-690-4-154;https://www.scopus.com/pages/publications/79951653172?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-79957972676;Meng X.-F., Yan L., Ma Z.-M., Zhang F., Wang X.;Meng, Xiang-Fu (15045452400) | Yan, Li (55227476500) | Ma, Zong-Min (13205045700) | Zhang, Fu (25633410200) | Wang, Xing (59891571400);15045452400 | 55227476500 | 13205045700 | 25633410200 | 59891571400;An adaptive query relaxation approach for relational databases based on semantic similarity;2011;Jisuanji Xuebao/Chinese Journal of Computers;34;5;;812;824;;10.3724/sp.j.1016.2011.00812;10.3724/SP.J.1016.2011.00812;https://www.scopus.com/pages/publications/79957972676?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-79960436675;Patel V., Mohandas R., Pais A.;Patel, Vipul (36783040400) | Mohandas, Radhesh (35318525800) | Pais, Alwyn (23985907200);36783040400 | 35318525800 | 23985907200;Safeguarding web services using self-adaptive schema hardening algorithm;2011;Communications in Computer and Information Science;196 CCIS;;;383;392;;10.1007/978-3-642-22540-6_37;10.1007/978-3-642-22540-6_37;https://www.scopus.com/pages/publications/79960436675?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-79961234944;Nakngoenthong J., Naksuk N., Kanarat A., Saito T.;Nakngoenthong, Jiradech (48461933500) | Naksuk, Nirut (8346360800) | Kanarat, Amnart (46161353600) | Saito, Takushi (12781331000);48461933500 | 8346360800 | 46161353600 | 12781331000;Supervisory level control of robot plasma spray coating process with task level modification based on process database;2011;ECTI-CON 2011 - 8th Electrical Engineering/ Electronics, Computer, Telecommunications and Information Technology (ECTI) Association of Thailand - Conference 2011;;;5947902;569;572;;10.1109/ecticon.2011.5947902;10.1109/ECTICON.2011.5947902;https://www.scopus.com/pages/publications/79961234944?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-80052139763;Farag W.;Farag, Waleed (6602879989);6602879989;Novel system for searching image databases using evolutionary algorithms;2011;Proceedings of the 15th IASTED International Conference on Internet and Multimedia Systems and Applications, IMSA 2011;;;;12;18;;10.2316/p.2011.746-031;10.2316/P.2011.746-031;https://www.scopus.com/pages/publications/80052139763?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-80052356958;Dai H., Yu N., Chang Z.;Dai, Hong (36561291500) | Yu, Ning (57220880132) | Chang, Ziguan (50660915800);36561291500 | 57220880132 | 50660915800;Application of spatio-tmporal data model in database of Beijing urban history;2011;Proceedings - 2011 19th International Conference on Geoinformatics, Geoinformatics 2011;;;5981024;;;;10.1109/geoinformatics.2011.5981024;10.1109/GeoInformatics.2011.5981024;https://www.scopus.com/pages/publications/80052356958?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-80052601283;Atli A., Nau K., Schmidt A.;Atli, Ahmet (57517165700) | Nau, Katja (55309588200) | Schmidt, Andreas (57212416470);57517165700 | 55309588200 | 57212416470;Navigation along database relationships: An adaptive framework for presenting database contents as object graphs;2011;WEBIST 2011 - Proceedings of the 7th International Conference on Web Information Systems and Technologies;;;;372;379;;;;https://www.scopus.com/pages/publications/80052601283?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-80054878216;Wu H., Chen S.;Wu, Huajian (57214357897) | Chen, Shaohua (54384865500);57214357897 | 54384865500;Cloud database resource calculations optimization based on buzzers and genetic algorithm double-population evolution mechanism;2011;Proceedings of 2011 Cross Strait Quad-Regional Radio Science and Wireless Technology Conference, CSQRWC 2011;2;;6037173;1188;1192;;10.1109/csqrwc.2011.6037173;10.1109/CSQRWC.2011.6037173;https://www.scopus.com/pages/publications/80054878216?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-80055034818;Petkovski M., Kostov M., Bogdanova S., Bogdanov M.;Petkovski, Mile (24479228900) | Kostov, Mitko (15765561900) | Bogdanova, Sofija (7005662141) | Bogdanov, Momcilo (7006640401);24479228900 | 15765561900 | 7005662141 | 7006640401;Adaptive sampling algorithm applied to SCADA datalog database shrinkage;2011;International Conference on Systems, Signals, and Image Processing;;;5977344;177;180;;;;https://www.scopus.com/pages/publications/80055034818?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-82755167236;Chen K., Sun W., Zhu L., Liu W.;Chen, Kunjie (56160365100) | Sun, Weiwei (56542168400) | Zhu, Liang (57207577793) | Liu, Weimo (50361519200);56160365100 | 56542168400 | 57207577793 | 50361519200;An adaptive page-replacement strategy for spatial database systems;2011;Jisuanji Yanjiu yu Fazhan/Computer Research and Development;48;10;;1927;1934;;;;https://www.scopus.com/pages/publications/82755167236?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-83655192559;Liu X., Chen X., Li Q., Ni G.;Liu, Xing (55717342300) | Chen, Xiaomei (55739158700) | Li, Qianqian (36062654700) | Ni, Guoqiang (12790989200);55717342300 | 55739158700 | 36062654700 | 12790989200;Design of the typical altered mineral spectral feature database system on the area of oil and gas migration;2011;Proceedings of SPIE - The International Society for Optical Engineering;8200;;82001N;;;;10.1117/12.920629;10.1117/12.920629;https://www.scopus.com/pages/publications/83655192559?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84855722769;Miesler L., Leder H., Herrmann A.;Miesler, Linda (22951053000) | Leder, Helmut (8656461700) | Herrmann, Andreas (35344990300);22951053000 | 8656461700 | 35344990300;Isn't it cute: An evolutionary perspective of baby-schema effects in visual product designs;2011;International Journal of Design;5;3;;17;30;;;;https://www.scopus.com/pages/publications/84855722769?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84856532380;Gheribi A.E., Audet C., Le Digabel S., Blisle E., Bale C.W., Pelton A.D.;Gheribi, A.E. (14044927500) | Audet, C. (7004235267) | Le Digabel, S. (8125093700) | Blisle, E. (35313348100) | Bale, C.W. (7005157544) | Pelton, A.D. (7103051741);14044927500 | 7004235267 | 8125093700 | 35313348100 | 7005157544 | 7103051741;Calculating optimal conditions for alloy and process design using thermodynamic and property databases, the FactSage software and the Mesh Adaptive Direct Search algorithm;2012;Calphad: Computer Coupling of Phase Diagrams and Thermochemistry;36;;;135;143;;10.1016/j.calphad.2011.06.003;10.1016/j.calphad.2011.06.003;https://www.scopus.com/pages/publications/84856532380?origin=resultslist;Article;Final;;Scopus
