key|eeURI|title|authors|year|venue|docURI
journals_jss_SuarezOteroMCT23|https://doi.org/10.1016/j.jss.2023.111743|CoDEvo: Column family database evolution using model transformations.|Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya'|2023|J. Syst. Softw.|https://www.sciencedirect.com/science/article/pii/S0164121223001383?via%3Dihub
conf_splc_0001LPP23|https://doi.org/10.1145/3579027.3608990|Adapting the Database to Feature Changes in Software Product Lines.|Alejandro Cortiñas 0001', 'Miguel R. Luaces', 'Oscar Pedreira', 'Ángeles Saavedra Places'|2023|SPLC|https://dl.acm.org/doi/10.1145/3579027.3608990
journals_dpd_HillenbrandSNK22|https://doi.org/10.1007/s10619-021-07334-1|Self-adapting data migration in the context of schema evolution in NoSQL databases.|Andrea Hillenbrand', 'Uta Störl', 'Shamil Nabiyev', 'Meike Klettke'|2022|Distributed Parallel Databases|https://link.springer.com/article/10.1007/s10619-021-07334-1
conf_eScience_SchulerK22|https://doi.org/10.1109/eScience55777.2022.00035|Managing Database-Application Co-Evolution in a Scientific Data Ecosystem.|Robert E. Schuler', 'Carl Kesselman'|2022|e-Science|https://ieeexplore.ieee.org/document/9973479
conf_edbt_StorlK22|https://ceur-ws.org/Vol-3135/dataplat_short3.pdf|Darwin: A Data Platform for Schema Evolution Management and Data Migration.|Uta Störl', 'Meike Klettke'|2022|EDBT/ICDT Workshops|https://ceur-ws.org/Vol-3135/dataplat_short3.pdf
conf_er_BenatsM0C22|https://ceur-ws.org/Vol-3211/CR_122.pdf|Query-based Schema Evolution Recommendations for Hybrid Polystores.|Pol Benats', 'Loup Meurice', 'Maxime Gobert 0001', 'Anthony Cleve'|2022|ER Forum/PhD Symposium|https://ceur-ws.org/Vol-3211/CR_122.pdf
conf_ideas_HolubovaKL22|https://doi.org/10.1145/3548785.3548810|Self-Adapting Design and Maintenance of Multi-Model Databases.|Irena Holubová', 'Pavel Koupil', 'Jiaheng Lu'|2022|IDEAS|https://dl.acm.org/doi/10.1145/3548785.3548810
journals_is_VassiliadisK22|https://doi.org/10.1016/j.is.2022.102109|Taxa and super taxa of schema evolution and their relationship to activity, heartbeat and duration.|Panos Vassiliadis', 'George Kalampokis'|2022|Inf. Syst.|https://www.sciencedirect.com/science/article/pii/S0306437922000904?via%3Dihub
conf_models_EckwertGT22|https://doi.org/10.1145/3550356.3559095|EvolveDB: a tool for model driven schema evolution.|Torben Eckwert', 'Michael Guckert', 'Gabriele Taentzer'|2022|MoDELS|https://dl.acm.org/doi/10.1145/3550356.3559095
conf_modelsward_HillenbrandS22a|https://doi.org/10.1007/978-3-031-38821-7_11|Managing Schema Migration in NoSQL Databases: Advisor Heuristics vs. Self-adaptive Schema Migration Strategies.|Andrea Hillenbrand', 'Uta Störl'|2022|MODELSWARD|https://link.springer.com/chapter/10.1007/978-3-031-38821-7_11
conf_modelsward_HillenbrandS22|https://doi.org/10.5220/0010891300003119|Automated Curation of Variational Data in NoSQL Databases through Metric-driven Self-adaptive Migration Strategies.|Andrea Hillenbrand', 'Uta Störl'|2022|MODELSWARD|https://www.scitepress.org/Link.aspx?doi=10.5220/0010891300003119
journals_pvldb_Hu0Z22|https://www.vldb.org/pvldb/vol16/p140-hu.pdf|Online Schema Evolution is (almost) Free for Snapshot Databases.|Tianxun Hu', 'Tianzheng Wang 0001', 'Qingqing Zhou'|2022|Proc. VLDB Endow.|https://www.vldb.org/pvldb/vol16/p140-hu.pdf
journals_sncs_AkazawaMS22|https://doi.org/10.1007/s42979-022-01086-0|An Algorithm for Transforming Property Path Query Based on Shape Expression Schema Update.|Goki Akazawa', 'Naoto Matsubara', 'Nobutaka Suzuki'|2022|SN Comput. Sci.|https://link.springer.com/article/10.1007/s42979-022-01086-0
conf_kbse_XieY021|https://doi.org/10.1109/ASE51524.2021.9678934|Automated Code Refactoring upon Database-Schema Changes in Web Applications.|Sophie Xie', 'Junwen Yang', 'Shan Lu 0001'|2021|ASE|https://ieeexplore.ieee.org/document/9678934
conf_bdiot2_BrahmiaB0B21|https://doi.org/10.1007/978-3-031-07969-6_3|Implicit JSON Schema Versioning Triggered by Temporal Updates to JSON-Based Big Data in the τJSchema Framework.|Zouhaier Brahmia', 'Safa Brahmia', 'Fabio Grandi 0001', 'Rafik Bouaziz'|2021|BDIoT|https://link.springer.com/chapter/10.1007/978-3-031-07969-6_3
journals_dke_HolubovaVS21|https://doi.org/10.1016/j.datak.2021.101932|Evolution management in multi-model databases.|Irena Holubová', 'Michal Vavrek', 'Stefanie Scherzinger'|2021|Data Knowl. Eng.|https://www.sciencedirect.com/science/article/pii/S0169023X21000598?via%3Dihub
journals_dpd_SchulerK21|https://doi.org/10.1007/s10619-020-07314-x|CHiSEL: a user-oriented framework for simplifing database evolution.|Robert Schuler', 'Carl Kesselman'|2021|Distributed Parallel Databases|https://link.springer.com/article/10.1007/s10619-020-07314-x
conf_er_HillenbrandSS21|https://doi.org/10.1007/978-3-030-89022-3_13|Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.|Andrea Hillenbrand', 'Stefanie Scherzinger', 'Uta Störl'|2021|ER|https://link.springer.com/chapter/10.1007/978-3-030-89022-3_13
conf_er_ChillonRM21a|https://doi.org/10.1007/978-3-030-89022-3_15|Towards a Taxonomy of Schema Changes for NoSQL Databases: The Orion Language.|Alberto Hernández Chillón', 'Diego Sevilla Ruiz', 'Jesús García Molina'|2021|ER|https://link.springer.com/chapter/10.1007/978-3-030-89022-3_15
conf_er_Suarez-OteroMCT21|https://doi.org/10.1007/978-3-030-88358-4_3|An Integrated Approach for Column-Oriented Database Application Evolution Using Conceptual Models.|Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya'|2021|ER|https://link.springer.com/chapter/10.1007/978-3-030-88358-4_3
conf_icde_Vassiliadis21|https://doi.org/10.1109/ICDE51399.2021.00008|Profiles of Schema Evolution in Free Open Source Software Projects.|Panos Vassiliadis'|2021|ICDE|https://ieeexplore.ieee.org/document/9458666
conf_icde_ScherzingerMK21|https://doi.org/10.1109/ICDE51399.2021.00307|DeBinelle: Semantic Patches for Coupled Database-Application Evolution.|Stefanie Scherzinger', 'Wolfgang Mauerer', 'Haridimos Kondylakis'|2021|ICDE|https://ieeexplore.ieee.org/document/9458650
journals_jdwm_AhmedZVW21|https://doi.org/10.4018/ijdwm.2021100101|Schema Evolution in Multiversion Data Warehouses.|Waqas Ahmed 0003', 'Esteban Zimányi', 'Alejandro A. Vaisman', 'Robert Wrembel'|2021|Int. J. Data Warehous. Min.|https://www.igi-global.com/gateway/article/290268
journals_ijwis_ChabinEFH21|https://doi.org/10.1108/IJWIS-03-2021-0033|Graph rewriting rules for RDF database evolution: optimizing side-effect processing.|Jacques Chabin', 'Cédric Eichler', 'Mírian Halfeld Ferrari', 'Nicolas Hiot'|2021|Int. J. Web Inf. Syst.|https://www.emerald.com/ijwis/article-abstract/17/6/622/445124/Graph-rewriting-rules-for-RDF-database-evolution?redirectedFrom=fulltext
journals_jss_OvereemSJB21|https://doi.org/10.1016/j.jss.2021.110970|An empirical characterization of event sourced systems and their schema evolution - Lessons from industry.|Michiel Overeem', 'Marten Spoor', 'Slinger Jansen', 'Sjaak Brinkkemper'|2021|J. Syst. Softw.|https://www.sciencedirect.com/science/article/pii/S0164121221000674?via%3Dihub
conf_eurosys_LittHH21|https://doi.org/10.1145/3447865.3457963|Cambria: Schema Evolution in Distributed Systems with Edit Lenses.|Geoffrey Litt', 'Peter van Hardenberg', 'Orion Henry'|2021|PaPoC@EuroSys|https://dl.acm.org/doi/10.1145/3447865.3457963
conf_pldi_RennerSBLS21|https://doi.org/10.1145/3453483.3454072|Scooter &amp; Sidecar: a domain-specific approach to writing secure database migrations.|John Renner', 'Alex Sanchez-Stern', 'Fraser Brown', 'Sorin Lerner', 'Deian Stefan'|2021|PLDI|https://dl.acm.org/doi/10.1145/3453483.3454072
conf_sigmod_BhattacherjeeLH21|https://doi.org/10.1145/3448016.3452842|BullFrog: Online Schema Evolution via Lazy Evaluation.|Souvik Bhattacherjee', 'Gang Liao', 'Michael Hicks 0001', 'Daniel J. Abadi'|2021|SIGMOD Conference|https://dl.acm.org/doi/10.1145/3448016.3452842
conf_tpctc_ConradMKMKS21|https://doi.org/10.1007/978-3-030-94437-7_3|EvoBench: Benchmarking Schema Evolution in NoSQL.|André Conrad', 'Mark Lukas Möller', 'Tobias Kreiter', 'Jan-Christopher Mair', 'Meike Klettke', 'Uta Störl'|2021|TPCTC|https://link.springer.com/chapter/10.1007/978-3-030-94437-7_3
conf_vem_LawrenceB21|https://doi.org/10.5753/vem.2021.17209|Assessing the Occurrence of Blocking Operations in Database Schema Evolution: A Case Study.|Willie Lawrence', 'Eiji Adachi Barbosa'|2021|VEM|https://sol.sbc.org.br/index.php/vem/article/view/17209
conf_caise_MollerSKS20|https://doi.org/10.1007/978-3-030-58135-0_10|Why It Is Time for Yet Another Schema Evolution Benchmark - Visionary Paper.|Mark Lukas Möller', 'Stefanie Scherzinger', 'Meike Klettke', 'Uta Störl'|2020|CAiSE Forum|https://link.springer.com/chapter/10.1007/978-3-030-58135-0_10
conf_er_ScherzingerS20|https://doi.org/10.1007/978-3-030-62522-1_33|An Empirical Study on the Design and Evolution of NoSQL Database Schemas.|Stefanie Scherzinger', 'Sebastian Sidortschuck'|2020|ER|https://link.springer.com/chapter/10.1007/978-3-030-62522-1_33
conf_er_DimolikasZV20|https://doi.org/10.1007/978-3-030-62522-1_34|A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.|Konstantinos Dimolikas', 'Apostolos V. Zarras', 'Panos Vassiliadis'|2020|ER|https://link.springer.com/chapter/10.1007/978-3-030-62522-1_34
conf_er_BrainingerMS20|https://doi.org/10.1007/978-3-030-65847-2_19|Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.|Dimitri Braininger', 'Wolfgang Mauerer', 'Stefanie Scherzinger'|2020|ER|https://link.springer.com/chapter/10.1007/978-3-030-65847-2_19
conf_icde_HillenbrandSLNK20|https://doi.org/10.1109/ICDEW49219.2020.00013|Towards Self-Adapting Data Migration in the Context of Schema Evolution in NoSQL Databases.|Andrea Hillenbrand', 'Uta Störl', 'Maksym Levchenko', 'Shamil Nabiyev', 'Meike Klettke'|2020|ICDE Workshops|https://ieeexplore.ieee.org/document/9094136
conf_bigdataconf_Suarez-OteroMST20|https://doi.org/10.1109/BigData50022.2020.9378228|Maintaining NoSQL Database Quality During Conceptual Model Evolution.|Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya'|2020|IEEE BigData|https://ieeexplore.ieee.org/document/9378228
conf_bigdataconf_MollerKS20|https://doi.org/10.1109/BigData50022.2020.9378278|EvoBench - A Framework for Benchmarking Schema Evolution in NoSQL.|Mark Lukas Möller', 'Meike Klettke', 'Uta Störl'|2020|IEEE BigData|https://ieeexplore.ieee.org/document/9378278
conf_iiwas_ChabinEFH20|https://doi.org/10.1145/3428757.3429126|Graph Rewriting Rules for RDF Database Evolution Management.|Jacques Chabin', 'Cédric Eichler', 'Mírian Halfeld Ferrari', 'Nicolas Hiot'|2020|iiWAS|https://dl.acm.org/doi/10.1145/3428757.3429126
conf_isdfs_ShimmiDKA20|https://doi.org/10.1109/ISDFS49300.2020.9116208|Analysis of iOS SQLite Schema Evolution for Updating Forensic Data Extraction Tools.|Samiha S. Shimmi', 'Gokila Dorai', 'Umit Karabiyik', 'Sudhir Aggarwal'|2020|ISDFS|https://ieeexplore.ieee.org/document/9116208
conf_lwa_AugeMJF020|https://ceur-ws.org/Vol-2738/LWDA2020_paper_19.pdf|Schema Evolution and Reproducibility of Long-term Hydrographic Data Sets at the IOW.|Tanja Auge', 'Erik Manthey', 'Susanne Jürgensmann', 'Susanne Feistel', 'Andreas Heuer 0001'|2020|LWDA|https://ceur-ws.org/Vol-2738/LWDA2020_paper_19.pdf
conf_dmah-ws_StiemerVSS20|https://doi.org/10.1007/978-3-030-71055-2_4|PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.|Alexander Stiemer', 'Marco Vogt 0001', 'Heiko Schuldt', 'Uta Störl'|2020|Poly/DMAH@VLDB|https://link.springer.com/chapter/10.1007/978-3-030-71055-2_4
journals_rcs_BoukettayaNG20|https://rcs.cic.ipn.mx/2020_149_10/Data%20Migration%20in%20Graph-oriented%20Databases.pdf|Data Migration in Graph-oriented Databases.|Soumaya Boukettaya', 'Ahlem Nabli', 'Faïez Gargouri'|2020|Res. Comput. Sci.|https://rcs.cic.ipn.mx/2020_149_10/Data%20Migration%20in%20Graph-oriented%20Databases.pdf
conf_wcre_AfonsoSCMCG20|https://doi.org/10.1109/SANER48275.2020.9054796|LESSQL: Dealing with Database Schema Changes in Continuous Deployment.|Ariel Afonso', 'Altigran S. da Silva', 'Tayana Conte', 'Paulo Martins 0005', 'João M. B. Cavalcanti', 'Alessandro Garcia 0001'|2020|SANER|https://ieeexplore.ieee.org/document/9054796
conf_scam_FinkGC20|https://doi.org/10.1109/SCAM51674.2020.00019|Adapting Queries to Database Schema Changes in Hybrid Polystores.|Jérôme Fink', 'Maxime Gobert 0001', 'Anthony Cleve'|2020|SCAM|https://ieeexplore.ieee.org/document/9252014
conf_webist_AkazawaMS20|https://doi.org/10.5220/0010173002920298|Transforming Property Path Query According to Shape Expression Schema Update.|Goki Akazawa', 'Naoto Matsubara', 'Nobutaka Suzuki'|2020|WEBIST|https://www.scitepress.org/Link.aspx?doi=10.5220/0010173002920298
conf_cidr_BleifussBKNS19|http://cidrdb.org/cidr2019/papers/p65-bleifuss-cidr19.pdf|DBChEx: Interactive Exploration of Data and Schema Change.|Tobias Bleifuß', 'Leon Bornemann', 'Dmitri V. Kalashnikov', 'Felix Naumann', 'Divesh Srivastava'|2019|CIDR|http://cidrdb.org/cidr2019/papers/p65-bleifuss-cidr19.pdf
journals_computing_VassiliadisKZZ19|https://doi.org/10.1007/s00607-019-00702-x|Schema evolution and foreign keys: a study on usage, heartbeat of change and relationship of foreign keys to table activity.|Panos Vassiliadis', 'Michail-Romanos Kolozoff', 'Maria Zerva', 'Apostolos V. Zarras'|2019|Computing|https://link.springer.com/article/10.1007/s00607-019-00702-x
conf_edbt_AthinaiouK19|https://ceur-ws.org/Vol-2322/BigVis_9.pdf|VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.|Christos Athinaiou', 'Haridimos Kondylakis'|2019|EDBT/ICDT Workshops|https://ceur-ws.org/Vol-2322/BigVis_9.pdf
conf_er_BonifatiFGHOV19|https://doi.org/10.1007/978-3-030-33223-5_37|Schema Validation and Evolution for Graph Databases.|Angela Bonifati', 'Peter Furniss', 'Alastair Green', 'Russ Harmer', 'Eugenia Oshurko', 'Hannes Voigt'|2019|ER|https://link.springer.com/chapter/10.1007/978-3-030-33223-5_37
conf_icseb_JaimoonS19|https://doi.org/10.1145/3374549.3374579|Impact Analysis of Database Schema Changes on Hibernate Source Code and Test Cases.|Amornrat Jaimoon', 'Taratip Suwannasart'|2019|ICSEB|https://dl.acm.org/doi/10.1145/3374549.3374579
conf_isat_BhroitheHSPHFF19|https://doi.org/10.1007/978-3-030-30440-9_11|A Generic Approach to Schema Evolution in Live Relational Databases.|Anna O&apos;Faoláin de Bhróithe', 'Fritz Heiden', 'Alena Schemmert', 'Dschialin Phan', 'Lillian Hung', 'Jörn Freiheit', 'Frank Fuchs-Kittowski'|2019|ISAT|https://link.springer.com/chapter/10.1007/978-3-030-30440-9_11
conf_lwa_MollerKS19|https://ceur-ws.org/Vol-2454/paper_19.pdf|Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.|Mark Lukas Möller', 'Meike Klettke', 'Uta Störl'|2019|LWDA|https://ceur-ws.org/Vol-2454/paper_19.pdf
conf_seke_OubelliABCL19|https://doi.org/10.18293/SEKE2019-132|Finding conservative schema evolutions by analysing API changes.|Lynda Ait Oubelli', 'Yamine Aït Ameur', 'Judicaël Bedouet', 'Benoît Chausserie-Lapree', 'Béatrice Larzul'|2019|SEKE|https://link.springer.com/chapter/10.1007/978-3-030-65847-2_19
conf_ssdbm_SchulerK19|https://doi.org/10.1145/3335783.3335787|A High-level User-oriented Framework for Database Evolution.|Robert E. Schuler', 'Carl Kesselman'|2019|SSDBM|https://dl.acm.org/doi/10.1145/3335783.3335787
conf_data_MohapatraHVLTL18|https://doi.org/10.5220/0006845101970207|Seamless Database Evolution for Cloud Applications.|Aniket Mohapatra', 'Kai Herrmann 0002', 'Hannes Voigt', 'Simon Lüders', 'Tsvetan Tsokov', 'Wolfgang Lehner'|2018|DATA|https://www.scitepress.org/Link.aspx?doi=10.5220/0006845101970207
conf_er_CaruccioPT18|https://doi.org/10.1007/978-3-030-01391-2_17|Dependency-Based Query/View Synchronization upon Schema Evolutions.|Loredana Caruccio', 'Giuseppe Polese', 'Genoveffa Tortora'|2018|ER Workshops|https://link.springer.com/chapter/10.1007/978-3-030-01391-2_17
conf_icsm_DelplanqueEAA18|https://doi.org/10.1109/ICSME.2018.00073|Relational Database Schema Evolution: An Industrial Case Study.|Julien Delplanque', 'Anne Etien', 'Nicolas Anquetil', 'Olivier Auverlot'|2018|ICSME|https://ieeexplore.ieee.org/document/8530076
journals_isf_HerrmannVRBL18|https://doi.org/10.1007/s10796-016-9730-2|Robust and simple database evolution.|Kai Herrmann 0002', 'Hannes Voigt', 'Jonas Rausch', 'Andreas Behrend', 'Wolfgang Lehner'|2018|Inf. Syst. Frontiers|https://link.springer.com/article/10.1007/s10796-016-9730-2
conf_ipaw_Auge018|https://doi.org/10.1007/978-3-319-98379-0_24|Combining Provenance Management and Schema Evolution.|Tanja Auge', 'Andreas Heuer 0001'|2018|IPAW|https://link.springer.com/chapter/10.1007/978-3-319-98379-0_24
conf_isda_BoukettayaNG18|https://doi.org/10.1007/978-3-030-16660-1_39|Towards the Evolution of Graph Oriented Databases.|Soumaya Boukettaya', 'Ahlem Nabli', 'Faïez Gargouri'|2018|ISDA|https://link.springer.com/chapter/10.1007/978-3-030-16660-1_39
journals_jd_LiS18|https://doi.org/10.1108/JD-03-2017-0042|Provenance description of metadata application profiles for long-term maintenance of metadata schemas.|Chunqiu Li', 'Shigeo Sugimoto'|2018|J. Documentation|https://www.emerald.com/jd/article/74/1/36-61/207816
conf_ssdbm_SchulerK18|https://doi.org/10.1145/3221269.3221300|Towards an efficient and effective framework for the evolution of scientific databases.|Robert E. Schuler', 'Carl Kesselman'|2018|SSDBM|https://dl.acm.org/doi/10.1145/3221269.3221300
conf_www_TanonK18|https://doi.org/10.1145/3184558.3191643|Property Label Stability in Wikidata: Evolution and Convergence of Schemas in Collaborative Knowledge Bases.|Thomas Pellissier Tanon', 'Lucie-Aimée Kaffee'|2018|WWW|https://dl.acm.org/citation.cfm?doid=3184558.3191643
conf_btw_HauboldSSD17|https://dl.gi.de/handle/20.500.12116/664|ControVol Flex: Flexible Schema Evolution for NoSQL Application Development.|Florian Haubold', 'Johannes Schildgen', 'Stefanie Scherzinger', 'Stefan Deßloch'|2017|BTW|https://dl.gi.de/items/ec2be76b-b38b-4303-b374-9c67aca91536
conf_caise_VassiliadisZ17|https://doi.org/10.1007/978-3-319-59536-8_21|Survival in Schema Evolution: Putting the Lives of Survivor and Dead Tables in Counterpoint.|Panos Vassiliadis', 'Apostolos V. Zarras'|2017|CAiSE|https://link.springer.com/chapter/10.1007/978-3-319-59536-8_21
conf_er_VassiliadisKZZ17|https://doi.org/10.1007/978-3-319-69904-2_9|Schema Evolution and Foreign Keys: Birth, Eviction, Change and Absence.|Panos Vassiliadis', 'Michail-Romanos Kolozoff', 'Maria Zerva', 'Apostolos V. Zarras'|2017|ER|https://link.springer.com/chapter/10.1007/978-3-319-69904-2_9
conf_icse_JongDC17|https://doi.org/10.1109/ICSE-SEIP.2017.5|Zero-Downtime SQL Database Schema Evolution for Continuous Deployment.|Michael de Jong', 'Arie van Deursen', 'Anthony Cleve'|2017|ICSE-SEIP|https://ieeexplore.ieee.org/document/7965438
